view_history,rt,name,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,accuracy,stimulus,slider_start,price,rate_trial,num_ratings,sequence,option,rank,num_options,num_seqs,seq_cond,reward_cond,array,num_draws
"[{""page_index"":0,""viewing_time"":29133},{""page_index"":1,""viewing_time"":18054},{""page_index"":2,""viewing_time"":2702}]",49890,information sheet,instructions,0,49893,0.0-0.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,,,,,,,,,,,,,,,,,
,10735,consent_form,survey-multi-select,1,60640,0.0-1.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,"{""Q0"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q1"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q2"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q3"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q4"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q5"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q6"":[""<p style=\""font-size: 12pt;\"">I agree</p>""]}","[0,1,2,3,4,5,6]",,,,,,,,,,,,,,,
,7468,demographics_survey,survey,2,68170,0.0-2.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,"{""P0_Q0"":null,""gender"":""Female"",""age"":""23""}",,[],,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":20517}]",20517,phase1_instructions,instructions,3,88688,0.0-3.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,,,,,,,,,,,,,,,,,
,11353,rating_trial,html-slider-response,4,100047,0.0-4.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,71,,,Price of this smartphone contract: £ 1032,50,1032,0,180,,,,,,,,,
,4920,rating_trial,html-slider-response,5,104972,0.0-5.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61,,,Price of this smartphone contract: £ 571,50,571,1,180,,,,,,,,,
,10295,rating_trial,html-slider-response,6,115270,0.0-6.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,36,,,Price of this smartphone contract: £ 631.99,50,631.99,2,180,,,,,,,,,
,7912,rating_trial,html-slider-response,7,123185,0.0-7.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,26,,,Price of this smartphone contract: £ 723,50,723,3,180,,,,,,,,,
,4613,rating_trial,html-slider-response,8,127801,0.0-8.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,33,,,Price of this smartphone contract: £ 871.99,50,871.99,4,180,,,,,,,,,
,2615,rating_trial,html-slider-response,9,130419,0.0-9.0,10,1,2023-03-29 15:49:28,e768cdc589c53dece0e422349b441e59,90.214.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",iPhone,Safari,15.6.1,iOS,15_6_1,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,61523aa74b55c19b1bc7e98f,64243ea964ad7902968065e7,64245df93144aff3b6ba1f0d,69,,,Price of this smartphone contract: £ 504,50,504,5,180,,,,,,,,,
