Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996490937,22/02/2021 12:21:30,1613996490762,0,22/02/2021 12:21:30,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996497002,22/02/2021 12:21:37,1613996496902,0,22/02/2021 12:21:36,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,1,1,1,instructions,advancementZone,timelimit_screen,5996,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996501021,22/02/2021 12:21:41,1613996500908,0,22/02/2021 12:21:40,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,1,C1,Zone3,timelimit_screen,4004,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
4,1613996506419,22/02/2021 12:21:46,1613996506310,0,22/02/2021 12:21:46,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,2,D1,Zone3,response_button_text,5388,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
5,1613996510414,22/02/2021 12:21:50,1613996510287,0,22/02/2021 12:21:50,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,3,C2,Zone3,timelimit_screen,3999,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
6,1613996512880,22/02/2021 12:21:52,1613996512778,0,22/02/2021 12:21:52,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,4,D2,lose,response_button_text,2474,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
7,1613996516871,22/02/2021 12:21:56,1613996516762,0,22/02/2021 12:21:56,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,5,C3,Zone3,timelimit_screen,3992,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
8,1613996523333,22/02/2021 12:22:03,1613996523222,0,22/02/2021 12:22:03,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,6,D3,BEST,response_button_text,6444.000000000007,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
9,1613996526330,22/02/2021 12:22:06,1613996526220,0,22/02/2021 12:22:06,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,26,5star,advancementZone,timelimit_screen,3001,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
10,1613996526392,22/02/2021 12:22:06,1613996526236,0,22/02/2021 12:22:06,27660,6,task-3elb,,10250662,5ffed99b5991d45ce2eb9e7a,3117710,,complete,,6033a0cc3573d8069227d309,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1436x743,,Bruno sequence,4,1,1,1,6,1,29,next,content,timelimit_screen,17,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,3star,lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
