Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996462761,22/02/2021 12:21:02,1613996461139,0,22/02/2021 12:21:01,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996468775,22/02/2021 12:21:08,1613996467121,0,22/02/2021 12:21:07,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,1,1,1,instructions,advancementZone,timelimit_screen,5997.762,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996476909,22/02/2021 12:21:16,1613996471105,0,22/02/2021 12:21:11,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,1,C1,Zone3,timelimit_screen,3998.4929999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
4,1613996477855,22/02/2021 12:21:17,1613996473084,0,22/02/2021 12:21:13,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,2,D1,Zone3,response_button_text,1936.1250000074506,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
5,1613996479294,22/02/2021 12:21:19,1613996477069,0,22/02/2021 12:21:17,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,3,C2,Zone3,timelimit_screen,3998.227999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
6,1613996480687,22/02/2021 12:21:20,1613996478251,0,22/02/2021 12:21:18,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,4,D2,lose,response_button_text,1141.3000000175089,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
7,1613996486092,22/02/2021 12:21:26,1613996482234,0,22/02/2021 12:21:22,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,5,C3,Zone3,timelimit_screen,3998.5920000000006,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
8,1613996486607,22/02/2021 12:21:26,1613996484864,0,22/02/2021 12:21:24,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,6,D3,BEST,response_button_text,2599.6549999690615,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
9,1613996489358,22/02/2021 12:21:29,1613996487852,0,22/02/2021 12:21:27,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,26,5star,advancementZone,timelimit_screen,2998.9420000000027,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
10,1613996489497,22/02/2021 12:21:29,1613996487909,0,22/02/2021 12:21:27,27660,6,task-ec8d,,10250632,56addda15ea7aa000bbdfbd1,3117705,,complete,,6033a09df5e554025f2bdf9c,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1366x768,1366x657,,Bruno sequence,4,4,4,4,6,1,29,next,content,timelimit_screen,49.90899999999965,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>667</strong>,<strong>801.99</strong>,<strong>865.99</strong>,<strong>915</strong>,<strong>1061.99</strong>,,lose,lose,5star,lose,lose,1star,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>865.99</strong>,Option3,Option11,Option6
