Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996546444,22/02/2021 12:22:26,1613996545587,0,22/02/2021 12:22:25,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996552435,22/02/2021 12:22:32,1613996551613,0,22/02/2021 12:22:31,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,1,1,1,instructions,advancementZone,timelimit_screen,5999.94,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996556447,22/02/2021 12:22:36,1613996555599,0,22/02/2021 12:22:35,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,1,C1,Zone3,timelimit_screen,3999.983,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
4,1613996560690,22/02/2021 12:22:40,1613996559860,0,22/02/2021 12:22:39,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,2,D1,Zone3,response_button_text,4239.100000006147,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
5,1613996564690,22/02/2021 12:22:44,1613996563851,0,22/02/2021 12:22:43,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,3,C2,Zone3,timelimit_screen,4000.065999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
6,1613996565777,22/02/2021 12:22:45,1613996564856,0,22/02/2021 12:22:44,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,4,D2,lose,response_button_text,959.244999990915,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
7,1613996569683,22/02/2021 12:22:49,1613996568852,0,22/02/2021 12:22:48,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,5,C3,Zone3,timelimit_screen,4000.280999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
8,1613996570277,22/02/2021 12:22:50,1613996569446,0,22/02/2021 12:22:49,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,6,D3,lose,response_button_text,534.1800000023795,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
9,1613996574261,22/02/2021 12:22:54,1613996573437,0,22/02/2021 12:22:53,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,7,C4,Zone3,timelimit_screen,4000.0160000000033,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
10,1613996575607,22/02/2021 12:22:55,1613996574781,0,22/02/2021 12:22:54,27660,6,task-ga5z,,10250703,5fedceffd92c4a85444b51e8,3117761,,complete,,6033a1403535c00712ff8069,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1504x1003,1504x892,,Bruno sequence,4,7,7,7,14,1,8,D4,lose,response_button_text,1283.4399999992456,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>787</strong>,<strong>673.99</strong>,<strong>745.99</strong>,<strong>1253.99</strong>,<strong>1065.99</strong>,<strong>864</strong>,<strong>552</strong>,,3star,lose,lose,lose,1star,lose,lose,lose,lose,5star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option10,Option1,Option5
