Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613997135374,22/02/2021 12:32:15,1613997136591,0,22/02/2021 12:32:16,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613997141482,22/02/2021 12:32:21,1613997142726,0,22/02/2021 12:32:22,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,1,1,1,instructions,advancementZone,timelimit_screen,5991.84,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613997145522,22/02/2021 12:32:25,1613997146731,0,22/02/2021 12:32:26,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,1,C1,Zone3,timelimit_screen,4005.62,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
4,1613997148571,22/02/2021 12:32:28,1613997149800,0,22/02/2021 12:32:29,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,2,D1,Zone3,response_button_text,3048,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
5,1613997152558,22/02/2021 12:32:32,1613997153812,0,22/02/2021 12:32:33,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,3,C2,Zone3,timelimit_screen,4004.42,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
6,1613997155645,22/02/2021 12:32:35,1613997156878,0,22/02/2021 12:32:36,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,4,D2,lose,response_button_text,3030,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
7,1613997159651,22/02/2021 12:32:39,1613997160887,0,22/02/2021 12:32:40,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,5,C3,Zone3,timelimit_screen,4004.4199999999983,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
8,1613997163246,22/02/2021 12:32:43,1613997164494,0,22/02/2021 12:32:44,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,6,D3,lose,response_button_text,3582,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
9,1613997167251,22/02/2021 12:32:47,1613997168494,0,22/02/2021 12:32:48,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,7,C4,Zone3,timelimit_screen,4006.239999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
10,1613997168670,22/02/2021 12:32:48,1613997169918,0,22/02/2021 12:32:49,27660,6,task-ijoq,,10251220,5586015efdf99b4204044ae1,3117891,,complete,,6033a381baf1830549293d91,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1908x904,,Bruno sequence,4,3,3,3,12,1,8,D4,BEST,response_button_text,1399,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
