Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996576279,22/02/2021 12:22:56,1613996576164,0,22/02/2021 12:22:56,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996582232,22/02/2021 12:23:02,1613996582160,0,22/02/2021 12:23:02,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,1,1,1,instructions,advancementZone,timelimit_screen,5999.249,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996586205,22/02/2021 12:23:06,1613996586152,0,22/02/2021 12:23:06,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,1,C1,Zone3,timelimit_screen,3993.929,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
4,1613996588348,22/02/2021 12:23:08,1613996588313,0,22/02/2021 12:23:08,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,2,D1,Zone3,response_button_text,2141.7700000165496,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
5,1613996592350,22/02/2021 12:23:12,1613996592298,0,22/02/2021 12:23:12,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,3,C2,Zone3,timelimit_screen,3993.9289999999983,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
6,1613996593712,22/02/2021 12:23:13,1613996593287,0,22/02/2021 12:23:13,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,4,D2,lose,response_button_text,968.7350000021979,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
7,1613996597336,22/02/2021 12:23:17,1613996597279,0,22/02/2021 12:23:17,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,5,C3,Zone3,timelimit_screen,3993.929,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
8,1613996598356,22/02/2021 12:23:18,1613996598324,0,22/02/2021 12:23:18,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,6,D3,BEST,response_button_text,1026.5249999938533,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
9,1613996601370,22/02/2021 12:23:21,1613996601323,0,22/02/2021 12:23:21,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,27,3star,advancementZone,timelimit_screen,3007.9799999999996,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
10,1613996601485,22/02/2021 12:23:21,1613996601340,0,22/02/2021 12:23:21,27660,6,task-v5qe,,10250739,60329b5b733e6a29a50a5823,3117764,,complete,,6033a15dccb01901e30f2bb8,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 88.0.4324.182,1440x900,1440x789,,Bruno sequence,4,2,2,2,6,1,29,next,content,timelimit_screen,16.71100000000297,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
