Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613997107104,22/02/2021 12:31:47,1613997104518,0,22/02/2021 12:31:44,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613997113187,22/02/2021 12:31:53,1613997110601,0,22/02/2021 12:31:50,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,1,1,1,instructions,advancementZone,timelimit_screen,6001.4400000000005,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613997117421,22/02/2021 12:31:57,1613997114601,0,22/02/2021 12:31:54,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,1,C1,Zone3,timelimit_screen,4000.8599999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
4,1613997119829,22/02/2021 12:31:59,1613997117261,0,22/02/2021 12:31:57,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,2,D1,Zone3,response_button_text,2655,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
5,1613997123834,22/02/2021 12:32:03,1613997121262,0,22/02/2021 12:32:01,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,3,C2,Zone3,timelimit_screen,4000.7400000000016,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
6,1613997125394,22/02/2021 12:32:05,1613997122844,0,22/02/2021 12:32:02,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,4,D2,lose,response_button_text,1576,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
7,1613997129402,22/02/2021 12:32:09,1613997126847,0,22/02/2021 12:32:06,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,5,C3,Zone3,timelimit_screen,4000.739999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
8,1613997130872,22/02/2021 12:32:10,1613997128341,0,22/02/2021 12:32:08,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,6,D3,lose,response_button_text,1486,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
9,1613997134889,22/02/2021 12:32:14,1613997132337,0,22/02/2021 12:32:12,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,7,C4,Zone3,timelimit_screen,4000.7400000000016,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
10,1613997135921,22/02/2021 12:32:15,1613997133365,0,22/02/2021 12:32:13,27660,6,task-v8w9,,10251207,5edfc2644280d62da10b4add,3117887,,complete,,6033a36afb39ce01f38b934e,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1336,,Bruno sequence,4,5,5,5,4,1,8,D4,lose,response_button_text,1022,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,lose,1star,5star,lose,lose,lose,3star,lose,lose,lose,lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
