Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996687471,22/02/2021 12:24:47,1613996692875,0,22/02/2021 12:24:52,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996693433,22/02/2021 12:24:53,1613996698871,0,22/02/2021 12:24:58,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,1,1,1,instructions,advancementZone,timelimit_screen,5999.018,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996697418,22/02/2021 12:24:57,1613996702851,0,22/02/2021 12:25:02,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,1,C1,Zone3,timelimit_screen,3999.331,,,,,0,1,0,,,1,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
4,1613996700200,22/02/2021 12:25:00,1613996705431,0,22/02/2021 12:25:05,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,2,D1,Zone3,response_button_text,2550.9449999954086,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
5,1613996703974,22/02/2021 12:25:03,1613996709415,0,22/02/2021 12:25:09,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,3,C2,Zone3,timelimit_screen,3999.368000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
6,1613996705128,22/02/2021 12:25:05,1613996710583,0,22/02/2021 12:25:10,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,4,D2,lose,response_button_text,1135.229999999865,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
7,1613996709121,22/02/2021 12:25:09,1613996714580,0,22/02/2021 12:25:14,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,5,C3,Zone3,timelimit_screen,3999.339,,,,,0,1,0,,,1,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
8,1613996710044,22/02/2021 12:25:10,1613996715499,0,22/02/2021 12:25:15,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,6,D3,BEST,response_button_text,891.6249999965657,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
9,1613996713424,22/02/2021 12:25:13,1613996718496,0,22/02/2021 12:25:18,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,28,1star,advancementZone,timelimit_screen,2999.5099999999984,,,,,0,1,0,,,1,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
10,1613996713561,22/02/2021 12:25:13,1613996718516,0,22/02/2021 12:25:18,27660,6,task-wl3e,,10250837,56e86055ed2575000bef2609,3117793,,complete,,6033a234748fae0266780eb4,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,10,10,10,6,1,29,next,content,timelimit_screen,16.704000000001543,,,,,0,1,0,,,1,,1,sequence,,,<strong>825.99</strong>,<strong>1083</strong>,<strong>673.99</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>989.99</strong>,,lose,lose,1star,5star,lose,lose,lose,lose,lose,lose,3star,lose,<strong>431.76</strong>,<strong>745.75</strong>,Option4,Option11,Option3
