Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1613996341436,22/02/2021 12:19:01,1613996340711,0,22/02/2021 12:19:00,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1613996347391,22/02/2021 12:19:07,1613996346721,0,22/02/2021 12:19:06,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,1,1,1,instructions,advancementZone,timelimit_screen,6000.161,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1613996351360,22/02/2021 12:19:11,1613996350715,0,22/02/2021 12:19:10,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,1,C1,Zone3,timelimit_screen,4000.2390000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
4,1613996353340,22/02/2021 12:19:13,1613996352680,0,22/02/2021 12:19:12,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,2,D1,Zone3,response_button_text,1953.0749999685213,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
5,1613996357351,22/02/2021 12:19:17,1613996356680,0,22/02/2021 12:19:16,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,3,C2,Zone3,timelimit_screen,4000.0809999999983,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
6,1613996358474,22/02/2021 12:19:18,1613996357824,0,22/02/2021 12:19:17,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,4,D2,lose,response_button_text,1133.6149999406189,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
7,1613996362515,22/02/2021 12:19:22,1613996361815,0,22/02/2021 12:19:21,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,5,C3,Zone3,timelimit_screen,4000.259000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
8,1613996363222,22/02/2021 12:19:23,1613996362565,0,22/02/2021 12:19:22,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,6,D3,lose,response_button_text,722.2250000340864,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
9,1613996367210,22/02/2021 12:19:27,1613996366563,0,22/02/2021 12:19:26,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,7,C4,Zone3,timelimit_screen,3999.982,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
10,1613996370006,22/02/2021 12:19:30,1613996369326,0,22/02/2021 12:19:29,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,8,D4,lose,response_button_text,2754.910000017844,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
11,1613996373968,22/02/2021 12:19:33,1613996373313,0,22/02/2021 12:19:33,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,9,C5,Zone3,timelimit_screen,4000.012999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
12,1613996374671,22/02/2021 12:19:34,1613996374020,0,22/02/2021 12:19:34,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,10,D5,lose,response_button_text,698.5649999696761,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
13,1613996378673,22/02/2021 12:19:38,1613996378014,0,22/02/2021 12:19:38,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,11,C6,Zone3,timelimit_screen,4000.021999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
14,1613996379423,22/02/2021 12:19:39,1613996378743,0,22/02/2021 12:19:38,27660,6,task-zthr,,10250534,5f57440d249dd21bde5c2f33,3117709,,complete,,6033a0aa42fdd7059cbbcefd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Bruno sequence,4,6,6,6,4,1,12,D6,lose,response_button_text,719.8549999156967,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>825.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>811</strong>,,lose,3star,lose,5star,lose,lose,lose,lose,1star,lose,lose,lose,<strong>1139.99</strong>,<strong>1032</strong>,Option4,Option2,Option9
