Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,chosen face,not chosen face,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price1a,price2a,price3a,price4a,price5a,price6a,price7a,price8a,price9a,price10a,price11a,price12a,,Participant_preference,face_rating,random number,fixation_times
1,1614074848299,23/02/2021 10:07:28,1614074848850,0,23/02/2021 10:07:28,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614074857675,23/02/2021 10:07:37,1614074858279,0,23/02/2021 10:07:38,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,1,option1,choice,response_button_text,8705.349999999726,,,£646.08,1,1,0,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
3,1614074861780,23/02/2021 10:07:41,1614074862222,0,23/02/2021 10:07:42,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,13,grey1,Zone1,continue_button,3929.979999999887,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
4,1614074865877,23/02/2021 10:07:45,1614074866483,0,23/02/2021 10:07:46,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,14,grey2,Zone1,continue_button,4249.135000000024,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
5,1614074866361,23/02/2021 10:07:46,1614074866971,0,23/02/2021 10:07:46,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,15,grey3,Zone1,continue_button,476.16500000003725,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
6,1614074866817,23/02/2021 10:07:46,1614074867395,0,23/02/2021 10:07:47,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,16,grey4,Zone1,continue_button,413.2599999998092,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
7,1614074867236,23/02/2021 10:07:47,1614074867843,0,23/02/2021 10:07:47,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,17,grey5,Zone1,continue_button,437.2250000001259,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
8,1614074867709,23/02/2021 10:07:47,1614074868309,0,23/02/2021 10:07:48,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,18,grey6,Zone1,continue_button,454.6550000000025,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
9,1614074868133,23/02/2021 10:07:48,1614074868733,0,23/02/2021 10:07:48,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,19,grey7,Zone1,continue_button,411.50500000003376,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
10,1614074868539,23/02/2021 10:07:48,1614074869151,0,23/02/2021 10:07:49,27661,5,task-hlnk,,10283163,59db44e63e5ea00001e1d163,3128692,,complete,,6034d1322290e3683f16b7c8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 1 sequence,3,Spreadsheet1,Spreadsheet1,5,1,20,grey8,Zone1,continue_button,404.0399999998954,,,,,0,1,0,,,,,1,sequence,,,<h1>£646.08</h1>,<h1>£1123</h1>,<h1>£1113.99</h1>,<h1>£779</h1>,<h1>£1083</h1>,<h1>£749.99</h1>,<h1>£720</h1>,<h1>£723</h1>,<h1>£1032</h1>,<h1>£811</h1>,<h1>£799.99</h1>,<h1>£912</h1>,£646.08,"£1,123","£1,113.99",£779,"£1,083",£749.99,£720,£723,"£1,032",£811,£799.99,£912,,,,,
