Condition 1,Condition 2,n,BF10 0.50,BF10 0.71,BF10 1.00,t test,Cohen's d,Lilliefors
Pilot baseline,,,,,,,,
Biased prior obj,Cut off obj,47,9.98774E+11,1.29414E+12,1.57072E+12,t(46) = -11.40 p = 0.00,-1.66,"D = 0.11, p = 0.62"
Biased prior obj,Cost to sample obj,47,1.69,1.38,1.07,t(46) = -2.19 p = 0.10,-0.32,"D = 0.14, p = 0.08"
Cut off obj,Cost to sample obj,47,7156949988,9017499320,10503664777,t(46) = 9.74 p = 0.00,1.42,"D = 0.11, p = 0.61"
Pilot full,,,,,,,,
Biased prior obj,Biased prior subj,50,0.24,0.18,0.13,t(49) = -0.55 p = 1.00,-0.08,"D = 0.29, p = 0.01"
Biased prior obj,Cut off obj,50,2.51,2.08,1.62,t(49) = -2.40 p = 0.30,-0.34,"D = 0.12, p = 1.00"
Biased prior obj,Cut off subj,50,119.33,113.76,98.65,t(49) = -4.00 p = 0.00,-0.57,"D = 0.10, p = 1.00"
Biased prior obj,Cost to sample obj,50,29.65,27.03,22.62,t(49) = -3.48 p = 0.02,-0.49,"D = 0.17, p = 0.02"
Biased prior obj,Cost to sample subj,50,0.31,0.23,0.17,t(49) = -0.91 p = 1.00,-0.13,"D = 0.13, p = 0.57"
Biased prior subj,Cut off obj,50,0.31,0.23,0.17,t(49) = -0.94 p = 1.00,-0.13,"D = 0.16, p = 0.03"
Biased prior subj,Cut off subj,50,0.7,0.55,0.41,t(49) = -1.65 p = 1.00,-0.23,"D = 0.27, p = 0.01"
Biased prior subj,Cost to sample obj,50,0.21,0.16,0.11,t(49) = -0.18 p = 1.00,-0.03,"D = 0.28, p = 0.01"
Biased prior subj,Cost to sample subj,50,0.22,0.16,0.11,t(49) = 0.25 p = 1.00,0.04,"D = 0.34, p = 0.01"
Cut off obj,Cut off subj,50,2.06,1.69,1.31,t(49) = -2.30 p = 0.39,-0.33,"D = 0.29, p = 0.01"
Cut off obj,Cost to sample obj,50,0.37,0.28,0.2,t(49) = 1.12 p = 1.00,0.16,"D = 0.07, p = 1.00"
Cut off obj,Cost to sample subj,50,0.77,0.6,0.45,t(49) = 1.72 p = 1.00,0.24,"D = 0.09, p = 1.00"
Cut off subj,Cost to sample obj,50,4.11,3.48,2.76,t(49) = 2.65 p = 0.16,0.37,"D = 0.12, p = 1.00"
Cut off subj,Cost to sample subj,50,20.92,18.84,15.62,t(49) = 3.34 p = 0.02,0.47,"D = 0.08, p = 1.00"
Cost to sample obj,Cost to sample subj,50,0.69,0.54,0.4,t(49) = 1.65 p = 1.00,0.23,"D = 0.15, p = 0.12"
