Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167690590,24/02/2021 11:54:50,1614167690390,0,24/02/2021 11:54:50,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167696509,24/02/2021 11:54:56,1614167696410,0,24/02/2021 11:54:56,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,1,1,1,instructions,advancementZone,timelimit_screen,5999.76,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167700516,24/02/2021 11:55:00,1614167700394,0,24/02/2021 11:55:00,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,1,C1,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
4,1614167702563,24/02/2021 11:55:02,1614167702281,0,24/02/2021 11:55:02,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,2,D1,Zone3,response_button_text,1868.6600000000908,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
5,1614167706424,24/02/2021 11:55:06,1614167706273,0,24/02/2021 11:55:06,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,3,C2,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
6,1614167707626,24/02/2021 11:55:07,1614167707484,0,24/02/2021 11:55:07,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,4,D2,lose,response_button_text,1193.5399999999863,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
7,1614167711579,24/02/2021 11:55:11,1614167711473,0,24/02/2021 11:55:11,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,5,C3,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
8,1614167712219,24/02/2021 11:55:12,1614167712023,0,24/02/2021 11:55:12,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,6,D3,lose,response_button_text,533.0300000000498,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
9,1614167716180,24/02/2021 11:55:16,1614167716028,0,24/02/2021 11:55:16,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,7,C4,Zone3,timelimit_screen,4005.4159999999974,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
10,1614167716758,24/02/2021 11:55:16,1614167716552,0,24/02/2021 11:55:16,31918,6,task-3elb,,10322555,587a3b7bd6df70000187510b,3140792,,complete,,60363e2497126088fe63186e,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,1440x900,1600x912,,Hybrid 4: Bruno sequence,3,1,1,1,4,1,8,D4,lose,response_button_text,505.7500000000364,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>723</strong>,<strong>1113.99</strong>,<strong>715</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,lose,5star,1star,lose,3star,lose,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option6,Option9,Option7
