Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614168276082,24/02/2021 12:04:36,1614168274294,0,24/02/2021 12:04:34,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614168281936,24/02/2021 12:04:41,1614168280287,0,24/02/2021 12:04:40,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,1,1,1,instructions,advancementZone,timelimit_screen,5992.280000000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614168285914,24/02/2021 12:04:45,1614168284261,0,24/02/2021 12:04:44,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,1,C1,Zone3,timelimit_screen,4006.0509999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
4,1614168288969,24/02/2021 12:04:48,1614168286891,0,24/02/2021 12:04:46,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,2,D1,Zone3,response_button_text,2551.549999974668,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
5,1614168292519,24/02/2021 12:04:52,1614168290886,0,24/02/2021 12:04:50,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,3,C2,Zone3,timelimit_screen,4006.047999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
6,1614168299458,24/02/2021 12:04:59,1614168297752,0,24/02/2021 12:04:57,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,4,D2,BEST,response_button_text,6812.949999701232,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
7,1614168302366,24/02/2021 12:05:02,1614168300752,0,24/02/2021 12:05:00,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,25,lose,advancementZone,timelimit_screen,3004.5560000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
8,1614168302476,24/02/2021 12:05:02,1614168300797,0,24/02/2021 12:05:00,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,4,1,29,next,content,timelimit_screen,33.78199999999924,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
9,1614168308510,24/02/2021 12:05:08,1614168306778,0,24/02/2021 12:05:06,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,3,2,1,instructions,advancementZone,timelimit_screen,5992.021000000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614168312403,24/02/2021 12:05:12,1614168310784,0,24/02/2021 12:05:10,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,14,2,1,C1,Zone3,timelimit_screen,4005.9890000000014,,,,,0,1,0,,,1,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
11,1614168313527,24/02/2021 12:05:13,1614168311891,0,24/02/2021 12:05:11,31918,6,task-ec8d,,10323004,60358f36069759a81559481c,3140897,,complete,,60363fcda278dd079eae7a0e,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1200x800,1200x658,,Hybrid 4: Bruno sequence,3,4,4,4,14,2,2,D1,Zone3,response_button_text,1080.0899998284876,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
