Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614168045127,24/02/2021 12:00:45,1614168044998,0,24/02/2021 12:00:44,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x561,,Hybrid 4: Bruno sequence,3,7,7,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614168051111,24/02/2021 12:00:51,1614168050993,0,24/02/2021 12:00:50,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,1,1,1,instructions,advancementZone,timelimit_screen,6005.932000000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614168055064,24/02/2021 12:00:55,1614168054998,0,24/02/2021 12:00:54,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,1,C1,Zone3,timelimit_screen,4004.1059999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
4,1614168056546,24/02/2021 12:00:56,1614168056443,0,24/02/2021 12:00:56,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,2,D1,Zone3,response_button_text,1422.164999996312,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
5,1614168060599,24/02/2021 12:01:00,1614168060470,0,24/02/2021 12:01:00,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,3,C2,Zone3,timelimit_screen,4004.0750000000007,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
6,1614168061509,24/02/2021 12:01:01,1614168061442,0,24/02/2021 12:01:01,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,4,D2,lose,response_button_text,955.4000000352971,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
7,1614168065514,24/02/2021 12:01:05,1614168065436,0,24/02/2021 12:01:05,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,5,C3,Zone3,timelimit_screen,4004.1630000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
8,1614168066444,24/02/2021 12:01:06,1614168066347,0,24/02/2021 12:01:06,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,6,D3,lose,response_button_text,884.8350000334904,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
9,1614168070392,24/02/2021 12:01:10,1614168070340,0,24/02/2021 12:01:10,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,7,C4,Zone3,timelimit_screen,4003.886999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
10,1614168072202,24/02/2021 12:01:12,1614168072141,0,24/02/2021 12:01:12,31918,6,task-ga5z,,10322819,5e5c15d971e4603f3f7edc9a,3140872,,complete,,60363f694ea4b47ba9890fa7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1309x840,,Hybrid 4: Bruno sequence,3,7,7,7,4,1,8,D4,lose,response_button_text,1784.7049999982119,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
