Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167751958,24/02/2021 11:55:51,1614167751265,0,24/02/2021 11:55:51,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167758006,24/02/2021 11:55:58,1614167757254,0,24/02/2021 11:55:57,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,1,1,1,instructions,advancementZone,timelimit_screen,6001.622,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167761942,24/02/2021 11:56:01,1614167761243,0,24/02/2021 11:56:01,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,1,C1,Zone3,timelimit_screen,4000.9879999999994,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
4,1614167765103,24/02/2021 11:56:05,1614167764400,0,24/02/2021 11:56:04,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,2,D1,Zone3,response_button_text,3137.4950000317767,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
5,1614167768999,24/02/2021 11:56:08,1614167768377,0,24/02/2021 11:56:08,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,3,C2,Zone3,timelimit_screen,4001.101999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
6,1614167770076,24/02/2021 11:56:10,1614167769429,0,24/02/2021 11:56:09,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,4,D2,lose,response_button_text,1029.9599999561906,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
7,1614167774173,24/02/2021 11:56:14,1614167773428,0,24/02/2021 11:56:13,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,5,C3,Zone3,timelimit_screen,4001.108,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
8,1614167774797,24/02/2021 11:56:14,1614167774176,0,24/02/2021 11:56:14,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,6,D3,lose,response_button_text,730.3949999623001,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
9,1614167778783,24/02/2021 11:56:18,1614167778163,0,24/02/2021 11:56:18,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,7,C4,Zone3,timelimit_screen,4001.0049999999974,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
10,1614167786704,24/02/2021 11:56:26,1614167785844,0,24/02/2021 11:56:25,31918,6,task-ijoq,,10322590,5cc7650d4bb96d00018a95fd,3140797,,complete,,60363e3957ac64ec39b9abf1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x695,,Hybrid 4: Bruno sequence,3,3,3,3,12,1,8,D4,BEST,response_button_text,7663.3350000483915,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
