Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167554196,24/02/2021 11:52:34,1614167554006,0,24/02/2021 11:52:34,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167560302,24/02/2021 11:52:40,1614167560180,0,24/02/2021 11:52:40,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,1,1,1,instructions,advancementZone,timelimit_screen,5999.7,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167564305,24/02/2021 11:52:44,1614167564180,0,24/02/2021 11:52:44,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,1,C1,Zone3,timelimit_screen,3999.7400000000007,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
4,1614167566714,24/02/2021 11:52:46,1614167566627,0,24/02/2021 11:52:46,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,2,D1,Zone3,response_button_text,2436,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
5,1614167570703,24/02/2021 11:52:50,1614167570613,0,24/02/2021 11:52:50,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,3,C2,Zone3,timelimit_screen,3999.7599999999984,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
6,1614167571162,24/02/2021 11:52:51,1614167571051,0,24/02/2021 11:52:51,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,4,D2,lose,response_button_text,429,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
7,1614167575148,24/02/2021 11:52:55,1614167575045,0,24/02/2021 11:52:55,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,5,C3,Zone3,timelimit_screen,3999.7400000000016,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
8,1614167575703,24/02/2021 11:52:55,1614167575613,0,24/02/2021 11:52:55,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,6,D3,lose,response_button_text,559,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
9,1614167579704,24/02/2021 11:52:59,1614167579611,0,24/02/2021 11:52:59,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,7,C4,Zone3,timelimit_screen,3999.800000000003,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
10,1614167582114,24/02/2021 11:53:02,1614167582012,0,24/02/2021 11:53:02,31918,6,task-iqyk,,10322463,5f678ef073bbcf3a7a52b59d,3140767,,complete,,60363db4b8bdfb91d0b07230,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1086,,Hybrid 4: Bruno sequence,3,8,8,8,14,1,8,D4,lose,response_button_text,2394,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
