Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167931468,24/02/2021 11:58:51,1614167934249,0,24/02/2021 11:58:54,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167937413,24/02/2021 11:58:57,1614167940275,0,24/02/2021 11:59:00,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,1,1,1,instructions,advancementZone,timelimit_screen,5999.224999999999,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167941404,24/02/2021 11:59:01,1614167944244,0,24/02/2021 11:59:04,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,1,C1,Zone3,timelimit_screen,3997.0370000000003,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
4,1614167943091,24/02/2021 11:59:03,1614167945922,0,24/02/2021 11:59:05,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,2,D1,Zone3,response_button_text,1666.880000004312,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
5,1614167947092,24/02/2021 11:59:07,1614167949915,0,24/02/2021 11:59:09,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,3,C2,Zone3,timelimit_screen,3997.0740000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
6,1614167947602,24/02/2021 11:59:07,1614167950471,0,24/02/2021 11:59:10,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,4,D2,lose,response_button_text,536.1599999887403,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
7,1614167951628,24/02/2021 11:59:11,1614167954470,0,24/02/2021 11:59:14,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,5,C3,Zone3,timelimit_screen,3997.0689999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
8,1614167952112,24/02/2021 11:59:12,1614167954975,0,24/02/2021 11:59:14,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,6,D3,lose,response_button_text,477.4150000012014,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
9,1614168024198,24/02/2021 12:00:24,1614168027049,0,24/02/2021 12:00:27,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,7,C4,Zone3,timelimit_screen,72072.545,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
10,1614168026702,24/02/2021 12:00:26,1614168029564,0,24/02/2021 12:00:29,31918,6,task-v5qe,,10322726,5e27002289cda1000abb3499,3140858,,complete,,60363f4abdecc402eef7234f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Hybrid 4: Bruno sequence,3,2,2,2,12,1,8,D4,lose,response_button_text,2501.8250000139233,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
