Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167609179,24/02/2021 11:53:29,1614167610313,0,24/02/2021 11:53:30,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167615316,24/02/2021 11:53:35,1614167616523,0,24/02/2021 11:53:36,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,1,1,1,instructions,advancementZone,timelimit_screen,5999.74,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167619331,24/02/2021 11:53:39,1614167620523,0,24/02/2021 11:53:40,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,1,C1,Zone3,timelimit_screen,3999.74,,,,,0,1,0,,,1,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
4,1614167622929,24/02/2021 11:53:42,1614167624146,0,24/02/2021 11:53:44,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,2,D1,Zone3,response_button_text,3586,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
5,1614167626934,24/02/2021 11:53:46,1614167628139,0,24/02/2021 11:53:48,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,3,C2,Zone3,timelimit_screen,3999.8200000000015,,,,,0,1,0,,,1,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
6,1614167629109,24/02/2021 11:53:49,1614167630327,0,24/02/2021 11:53:50,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,4,D2,lose,response_button_text,2154,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
7,1614167633099,24/02/2021 11:53:53,1614167634318,0,24/02/2021 11:53:54,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,5,C3,Zone3,timelimit_screen,3999.800000000003,,,,,0,1,0,,,1,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
8,1614167634275,24/02/2021 11:53:54,1614167635501,0,24/02/2021 11:53:55,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,6,D3,lose,response_button_text,1169,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
9,1614167638267,24/02/2021 11:53:58,1614167639487,0,24/02/2021 11:53:59,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,7,C4,Zone3,timelimit_screen,3999.8199999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
10,1614167640011,24/02/2021 11:54:00,1614167641234,0,24/02/2021 11:54:01,31918,6,task-v8w9,,10322508,5f32bb8f930a0e03028d5d80,3140766,,complete,,60363d73c6c5eaf710844607,computer,Desktop or Laptop,Windows 8.1,Firefox 85.0,1366x768,1366x654,,Hybrid 4: Bruno sequence,3,5,5,5,14,1,8,D4,lose,response_button_text,1716,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>431.76</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>917.99</strong>,<strong>1155.99</strong>,<strong>1345</strong>,<strong>864</strong>,<strong>915</strong>,<strong>715</strong>,<strong>843</strong>,,5star,3star,1star,lose,lose,lose,lose,lose,lose,lose,lose,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option2,Option3
