Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167761516,24/02/2021 11:56:01,1614167760654,0,24/02/2021 11:56:00,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167767606,24/02/2021 11:56:07,1614167766608,0,24/02/2021 11:56:06,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,1,1,1,instructions,advancementZone,timelimit_screen,5994.123,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167771438,24/02/2021 11:56:11,1614167770598,0,24/02/2021 11:56:10,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,1,C1,Zone3,timelimit_screen,3995.865999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
4,1614167774202,24/02/2021 11:56:14,1614167773378,0,24/02/2021 11:56:13,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,2,D1,Zone3,response_button_text,2719.920000003185,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
5,1614167778236,24/02/2021 11:56:18,1614167777374,0,24/02/2021 11:56:17,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,3,C2,Zone3,timelimit_screen,3996.255000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
6,1614167779928,24/02/2021 11:56:19,1614167779090,0,24/02/2021 11:56:19,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,4,D2,lose,response_button_text,1625.9900000004563,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
7,1614167783914,24/02/2021 11:56:23,1614167783084,0,24/02/2021 11:56:23,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,5,C3,Zone3,timelimit_screen,3995.9169999999976,,,,,0,1,0,,,1,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
8,1614167784781,24/02/2021 11:56:24,1614167783949,0,24/02/2021 11:56:23,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,6,D3,lose,response_button_text,819.2399999825284,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
9,1614167788762,24/02/2021 11:56:28,1614167787930,0,24/02/2021 11:56:27,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,7,C4,Zone3,timelimit_screen,3995.834999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
10,1614167789733,24/02/2021 11:56:29,1614167788877,0,24/02/2021 11:56:28,31918,6,task-vwjc,,10322596,58adb002ea3d11000170eaee,3140788,,complete,,60363ddcc6f19f15e80c3d57,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,675x329,,Hybrid 4: Bruno sequence,3,9,9,9,8,1,8,D4,lose,response_button_text,892.0449999859557,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>745.75</strong>,<strong>552</strong>,<strong>1691.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>795.99</strong>,<strong>744</strong>,<strong>431.76</strong>,<strong>811</strong>,,lose,3star,lose,lose,lose,lose,lose,1star,5star,lose,lose,lose,<strong>1083</strong>,<strong>1345</strong>,Option9,Option2,Option8
