Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167915732,24/02/2021 11:58:35,1614167910236,0,24/02/2021 11:58:30,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167921691,24/02/2021 11:58:41,1614167916267,0,24/02/2021 11:58:36,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,1,1,1,instructions,advancementZone,timelimit_screen,6000.352000000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167925674,24/02/2021 11:58:45,1614167920236,0,24/02/2021 11:58:40,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,1,C1,Zone3,timelimit_screen,3991.944999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
4,1614167927419,24/02/2021 11:58:47,1614167921952,0,24/02/2021 11:58:41,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,2,D1,Zone3,response_button_text,1681.4549999544397,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
5,1614167931380,24/02/2021 11:58:51,1614167925947,0,24/02/2021 11:58:45,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,3,C2,Zone3,timelimit_screen,4003.431999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
6,1614167932292,24/02/2021 11:58:52,1614167926863,0,24/02/2021 11:58:46,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,4,D2,lose,response_button_text,897.9649998946115,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
7,1614167936294,24/02/2021 11:58:56,1614167930865,0,24/02/2021 11:58:50,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,5,C3,Zone3,timelimit_screen,4002.91,,,,,0,1,0,,,1,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
8,1614167937929,24/02/2021 11:58:57,1614167932480,0,24/02/2021 11:58:52,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,6,D3,lose,response_button_text,1598.5499999951571,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
9,1614167941902,24/02/2021 11:59:01,1614167936466,0,24/02/2021 11:58:56,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,7,C4,Zone3,timelimit_screen,3999.714,,,,,0,1,0,,,1,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
10,1614167942904,24/02/2021 11:59:02,1614167937480,0,24/02/2021 11:58:57,31918,6,task-wl3e,,10322718,5e280b970793e9000bfaf086,3140821,,complete,,60363ec099355382b786a5fc,computer,Desktop or Laptop,Windows 8.1,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 4: Bruno sequence,3,10,10,10,8,1,8,D4,lose,response_button_text,983.5599999642,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
