Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614167737482,24/02/2021 11:55:37,1614167735401,0,24/02/2021 11:55:35,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614167743482,24/02/2021 11:55:43,1614167741391,0,24/02/2021 11:55:41,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,1,1,1,instructions,advancementZone,timelimit_screen,5999.759999999999,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614167747457,24/02/2021 11:55:47,1614167745380,0,24/02/2021 11:55:45,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,1,C1,Zone3,timelimit_screen,3999.840000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
4,1614167749785,24/02/2021 11:55:49,1614167747726,0,24/02/2021 11:55:47,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,2,D1,Zone3,response_button_text,2331.9199999968987,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
5,1614167753770,24/02/2021 11:55:53,1614167751722,0,24/02/2021 11:55:51,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,3,C2,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
6,1614167755237,24/02/2021 11:55:55,1614167753082,0,24/02/2021 11:55:53,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,4,D2,lose,response_button_text,1343.1899999995949,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
7,1614167759128,24/02/2021 11:55:59,1614167757068,0,24/02/2021 11:55:57,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,5,C3,Zone3,timelimit_screen,3997.4919999999984,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
8,1614167760110,24/02/2021 11:56:00,1614167758021,0,24/02/2021 11:55:58,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,6,D3,lose,response_button_text,938.6999999987893,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
9,1614167764317,24/02/2021 11:56:04,1614167762020,0,24/02/2021 11:56:02,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,7,C4,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
10,1614167765489,24/02/2021 11:56:05,1614167762818,0,24/02/2021 11:56:02,31918,6,task-zthr,,10322573,5eea62dd80fc2115fd5770b6,3140791,,complete,,60363d83893fce8102927a2d,computer,Desktop or Laptop,Mac OS 11.2.1,Chrome 88.0.4324.182,1440x900,1438x701,,Hybrid 4: Bruno sequence,3,6,6,6,12,1,8,D4,BEST,response_button_text,785.730000003241,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
