Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,,5_star,3_star,1_star
1,1570440920897,07/10/2019 09:35:20,1570440922127,1,07/10/2019 10:35:22,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1570440927159,07/10/2019 09:35:27,1570440928432,1,07/10/2019 10:35:28,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,1,1,1,instructions,advancementZone,timelimit_screen,6005.218999999999,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1570440931126,07/10/2019 09:35:31,1570440932420,1,07/10/2019 10:35:32,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,1,C1,Zone3,timelimit_screen,4003.617,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
4,1570440933642,07/10/2019 09:35:33,1570440934936,1,07/10/2019 10:35:34,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,2,D1,Zone3,response_button_text,2493.7049999998635,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
5,1570440937626,07/10/2019 09:35:37,1570440938926,1,07/10/2019 10:35:38,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,3,C2,Zone3,timelimit_screen,4003.478000000001,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
6,1570440939110,07/10/2019 09:35:39,1570440940402,1,07/10/2019 10:35:40,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,4,D2,lose,response_button_text,1458.4950000000827,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
7,1570440943112,07/10/2019 09:35:43,1570440944397,1,07/10/2019 10:35:44,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,5,C3,Zone3,timelimit_screen,4003.4389999999985,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
8,1570440944472,07/10/2019 09:35:44,1570440945751,1,07/10/2019 10:35:45,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,6,D3,lose,response_button_text,1338.870000000039,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
9,1570440948460,07/10/2019 09:35:48,1570440949752,1,07/10/2019 10:35:49,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,7,C4,Zone3,timelimit_screen,4003.440999999999,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
10,1570440950604,07/10/2019 09:35:50,1570440951895,1,07/10/2019 10:35:51,9869,6,task-3elb,,3154704,5a33fa26db3d8c00013ebdca,871765,,complete,,5d9b069701556d0014fa84a4,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.90,1366x768,1350x604,,Bruno sequence,1,Spreadsheet1,Spreadsheet1,12,1,8,D4,BEST,response_button_text,2125.4500000000007,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,lose,lose,lose,3star,1star,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,,Option4,Option8,Option9
