Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,chosen face,not chosen face,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price1a,price2a,price3a,price4a,price5a,price6a,price7a,price8a,price9a,price10a,price11a,price12a,,Participant_preference,face_rating,random number,fixation_times
1,1575989558607,10/12/2019 14:52:38,1575989557883,0,10/12/2019 14:52:37,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1575989564145,10/12/2019 14:52:44,1575989563452,0,10/12/2019 14:52:43,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,1,option1,choice,response_button_text,4913.5,383.76,1,1,0,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
3,1575989568152,10/12/2019 14:52:48,1575989567442,0,10/12/2019 14:52:47,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,13,grey1,Zone1,continue_button,3959.8,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
4,1575989568747,10/12/2019 14:52:48,1575989568057,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,14,grey2,Zone1,continue_button,593.8999999999996,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
5,1575989568934,10/12/2019 14:52:48,1575989568239,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,15,grey3,Zone1,continue_button,163.70000000000073,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
6,1575989569231,10/12/2019 14:52:49,1575989568432,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,16,grey4,Zone1,continue_button,175.6999999999989,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
7,1575989569372,10/12/2019 14:52:49,1575989568612,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,17,grey5,Zone1,continue_button,157.5,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
8,1575989569652,10/12/2019 14:52:49,1575989568825,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,18,grey6,Zone1,continue_button,196.5,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
9,1575989569965,10/12/2019 14:52:49,1575989568898,0,10/12/2019 14:52:48,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,19,grey7,Zone1,continue_button,53.79999999999927,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
10,1575989569965,10/12/2019 14:52:49,1575989569068,0,10/12/2019 14:52:49,11864,3,task-hlnk,,3506753,BLIND,991920,,complete,,5defadf7d7457d000bd6408e,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1366x768,1366x655,,Hybrid sequence,1,Spreadsheet1,Spreadsheet1,3,1,20,grey8,Zone1,continue_button,153.29999999999927,,,0,1,0,,,,,1,sequence,,,<h1>383.76</h1>,<h1>912</h1>,<h1>915</h1>,<h1>1320</h1>,<h1>918.99</h1>,<h1>551.76</h1>,<h1>795</h1>,<h1>1229.99</h1>,<h1>744</h1>,<h1>825.99</h1>,<h1>871.99</h1>,<h1>909.99</h1>,383.76,912,915,1320,918.99,551.76,795,1229.99,744,825.99,871.99,909.99,,,,,
