Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082405040,23/02/2021 12:13:25,1614082404922,0,23/02/2021 12:13:24,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082411575,23/02/2021 12:13:31,1614082411477,0,23/02/2021 12:13:31,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,1,1,1,instructions,advancementZone,timelimit_screen,5998,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082415563,23/02/2021 12:13:35,1614082415479,0,23/02/2021 12:13:35,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,1,C1,Zone3,timelimit_screen,4007,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
4,1614082418641,23/02/2021 12:13:38,1614082418526,0,23/02/2021 12:13:38,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,2,D1,Zone3,response_button_text,3036,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
5,1614082422611,23/02/2021 12:13:42,1614082422523,0,23/02/2021 12:13:42,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,3,C2,Zone3,timelimit_screen,4004,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
6,1614082423546,23/02/2021 12:13:43,1614082423403,0,23/02/2021 12:13:43,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,4,D2,lose,response_button_text,870,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
7,1614082427524,23/02/2021 12:13:47,1614082427406,0,23/02/2021 12:13:47,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,5,C3,Zone3,timelimit_screen,4004,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
8,1614082427997,23/02/2021 12:13:47,1614082427917,0,23/02/2021 12:13:47,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,6,D3,lose,response_button_text,501,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
9,1614082432056,23/02/2021 12:13:52,1614082431921,0,23/02/2021 12:13:51,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,7,C4,Zone3,timelimit_screen,4005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
10,1614082433291,23/02/2021 12:13:53,1614082433191,0,23/02/2021 12:13:53,27662,6,task-ityp,,10287670,5e1dcb521a938a1356cc585e,3130096,,complete,,6034ee87b928d5d053bf4358,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Hybrid 2 bruno sequence,5,3,3,3,12,1,8,D4,lose,response_button_text,1260,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>667</strong>,<strong>779</strong>,<strong>875.99</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>1061.99</strong>,,lose,lose,lose,5star,1star,lose,lose,3star,lose,lose,lose,lose,<strong>1229.99</strong>,<strong>1008</strong>,Option4,Option8,Option5
