Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082605173,23/02/2021 12:16:45,1614082605051,0,23/02/2021 12:16:45,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082611061,23/02/2021 12:16:51,1614082611001,0,23/02/2021 12:16:51,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,1,1,1,instructions,advancementZone,timelimit_screen,5999.482999999999,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082615083,23/02/2021 12:16:55,1614082614992,0,23/02/2021 12:16:54,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,1,C1,Zone3,timelimit_screen,3999.907,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
4,1614082617027,23/02/2021 12:16:57,1614082616954,0,23/02/2021 12:16:56,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,2,D1,Zone3,response_button_text,1945.6849999987753,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
5,1614082621016,23/02/2021 12:17:01,1614082620942,0,23/02/2021 12:17:00,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,3,C2,Zone3,timelimit_screen,3999.838999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
6,1614082622220,23/02/2021 12:17:02,1614082622121,0,23/02/2021 12:17:02,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,4,D2,lose,response_button_text,1168.2650000002468,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
7,1614082626166,23/02/2021 12:17:06,1614082626108,0,23/02/2021 12:17:06,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,5,C3,Zone3,timelimit_screen,4000.056999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
8,1614082627154,23/02/2021 12:17:07,1614082627089,0,23/02/2021 12:17:07,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,6,D3,lose,response_button_text,970.8649999993213,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
9,1614082631148,23/02/2021 12:17:11,1614082631076,0,23/02/2021 12:17:11,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,7,C4,Zone3,timelimit_screen,4001.058000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
10,1614082631886,23/02/2021 12:17:11,1614082631833,0,23/02/2021 12:17:11,27662,6,task-ngai,,10287817,5ea09792b92a6d072f0aa4a7,3130072,,complete,,6034edd66a2ca9dafb7990d6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x937,,Hybrid 2 bruno sequence,5,7,7,7,4,1,8,D4,lose,response_button_text,748.0099999993399,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>1229.99</strong>,<strong>839.75</strong>,<strong>1322</strong>,<strong>795.99</strong>,<strong>1115.99</strong>,<strong>915</strong>,<strong>801.99</strong>,,lose,lose,lose,lose,1star,lose,5star,lose,lose,3star,lose,lose,<strong>869.99</strong>,<strong>1065.99</strong>,Option7,Option10,Option5
