Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614083212773,23/02/2021 12:26:52,1614083213418,0,23/02/2021 12:26:53,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614083218742,23/02/2021 12:26:58,1614083219414,0,23/02/2021 12:26:59,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,1,1,1,instructions,advancementZone,timelimit_screen,5994.05,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614083222691,23/02/2021 12:27:02,1614083223395,0,23/02/2021 12:27:03,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,1,C1,Zone3,timelimit_screen,3996.0820000000003,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
4,1614083224677,23/02/2021 12:27:04,1614083225387,0,23/02/2021 12:27:05,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,2,D1,Zone3,response_button_text,1961.5599999960978,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
5,1614083228718,23/02/2021 12:27:08,1614083229373,0,23/02/2021 12:27:09,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,3,C2,Zone3,timelimit_screen,3996.011999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
6,1614083229468,23/02/2021 12:27:09,1614083230161,0,23/02/2021 12:27:10,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,4,D2,lose,response_button_text,758.0550000129733,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
7,1614083233433,23/02/2021 12:27:13,1614083234150,0,23/02/2021 12:27:14,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,5,C3,Zone3,timelimit_screen,3996.011999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
8,1614083234814,23/02/2021 12:27:14,1614083235503,0,23/02/2021 12:27:15,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,6,D3,lose,response_button_text,1324.7250000131316,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
9,1614083238820,23/02/2021 12:27:18,1614083239479,0,23/02/2021 12:27:19,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,7,C4,Zone3,timelimit_screen,3996.0200000000004,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
10,1614083239798,23/02/2021 12:27:19,1614083240506,0,23/02/2021 12:27:20,27662,6,task-pmix,,10288151,5f23cda9d12b451b7da3e09d,3130251,,complete,,6034f141d56e61c659102c89,computer,Desktop or Laptop,Chromium OS 13597.66.0,Chrome 88.0.4324.109,1366x768,1366x649,,Hybrid 2 bruno sequence,5,10,10,10,4,1,8,D4,lose,response_button_text,1001.0800000163727,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,lose,lose,lose,1star,lose,lose,5star,lose,lose,3star,lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
