Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082376759,23/02/2021 12:12:56,1614082377298,0,23/02/2021 12:12:57,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082382719,23/02/2021 12:13:02,1614082383308,0,23/02/2021 12:13:03,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,1,1,1,instructions,advancementZone,timelimit_screen,6000.122,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082386703,23/02/2021 12:13:06,1614082387300,0,23/02/2021 12:13:07,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,1,C1,Zone3,timelimit_screen,3999.9090000000006,,,,,0,1,0,,,1,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
4,1614082388766,23/02/2021 12:13:08,1614082389371,0,23/02/2021 12:13:09,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,2,D1,Zone3,response_button_text,2059.5549999852665,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
5,1614082392774,23/02/2021 12:13:12,1614082393366,0,23/02/2021 12:13:13,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,3,C2,Zone3,timelimit_screen,3999.955,,,,,0,1,0,,,1,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
6,1614082394067,23/02/2021 12:13:14,1614082394667,0,23/02/2021 12:13:14,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,4,D2,BEST,response_button_text,1287.3949999921024,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
7,1614082397071,23/02/2021 12:13:17,1614082397666,0,23/02/2021 12:13:17,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,25,lose,advancementZone,timelimit_screen,3000.107,,,,,0,1,0,,,1,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
8,1614082397149,23/02/2021 12:13:17,1614082397684,0,23/02/2021 12:13:17,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,12,1,29,next,content,timelimit_screen,16.5679999999993,,,,,0,1,0,,,1,,1,sequence,,,<strong>1763.99</strong>,<strong>779</strong>,<strong>667</strong>,<strong>673.99</strong>,<strong>1152</strong>,<strong>1123</strong>,<strong>1691.99</strong>,<strong>723</strong>,<strong>787</strong>,<strong>915</strong>,,lose,lose,5star,3star,lose,lose,lose,1star,lose,lose,lose,lose,<strong>917.99</strong>,<strong>725.99</strong>,Option3,Option4,Option8
9,1614082403195,23/02/2021 12:13:23,1614082403683,0,23/02/2021 12:13:23,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,3,2,1,instructions,advancementZone,timelimit_screen,6000.032999999999,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614082407072,23/02/2021 12:13:27,1614082407683,0,23/02/2021 12:13:27,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,1,C1,Zone3,timelimit_screen,4000.0509999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
11,1614082408241,23/02/2021 12:13:28,1614082408846,0,23/02/2021 12:13:28,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,2,D1,Zone3,response_button_text,1153.7549999775365,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
12,1614082412234,23/02/2021 12:13:32,1614082412833,0,23/02/2021 12:13:32,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,3,C2,Zone3,timelimit_screen,4000.0930000000008,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
13,1614082413359,23/02/2021 12:13:33,1614082413971,0,23/02/2021 12:13:33,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,4,D2,lose,response_button_text,1123.0450000148267,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
14,1614082417360,23/02/2021 12:13:37,1614082417966,0,23/02/2021 12:13:37,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,5,C3,Zone3,timelimit_screen,3999.9040000000023,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
15,1614082418282,23/02/2021 12:13:38,1614082418891,0,23/02/2021 12:13:38,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,6,D3,lose,response_button_text,914.9450000259094,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
16,1614082422266,23/02/2021 12:13:42,1614082422883,0,23/02/2021 12:13:42,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,7,C4,Zone3,timelimit_screen,4000.036,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
17,1614082423267,23/02/2021 12:13:43,1614082423651,0,23/02/2021 12:13:43,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,8,D4,BEST,response_button_text,758.2249999977648,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
18,1614082426083,23/02/2021 12:13:46,1614082426650,0,23/02/2021 12:13:46,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,27,3star,advancementZone,timelimit_screen,3000.004000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
19,1614082426381,23/02/2021 12:13:46,1614082426668,0,23/02/2021 12:13:46,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,2,2,29,next,content,timelimit_screen,16.614000000001397,,,,,0,1,0,,,1,,1,sequence,,,<strong>768</strong>,<strong>1187.99</strong>,<strong>825.99</strong>,<strong>673.99</strong>,<strong>811</strong>,<strong>839.75</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>383.76</strong>,,lose,lose,lose,3star,lose,lose,1star,lose,lose,5star,lose,lose,<strong>1229.99</strong>,<strong>1123</strong>,Option10,Option4,Option7
20,1614082432102,23/02/2021 12:13:52,1614082432667,0,23/02/2021 12:13:52,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,5,3,1,instructions,advancementZone,timelimit_screen,6000.0509999999995,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1614082436093,23/02/2021 12:13:56,1614082436667,0,23/02/2021 12:13:56,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,1,C1,Zone3,timelimit_screen,3999.998999999996,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
22,1614082437157,23/02/2021 12:13:57,1614082437773,0,23/02/2021 12:13:57,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,2,D1,Zone3,response_button_text,1097.1299999509938,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
23,1614082441164,23/02/2021 12:14:01,1614082441766,0,23/02/2021 12:14:01,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,3,C2,Zone3,timelimit_screen,3999.934000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
24,1614082441886,23/02/2021 12:14:01,1614082442485,0,23/02/2021 12:14:02,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,4,D2,lose,response_button_text,703.4499999717809,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
25,1614082445890,23/02/2021 12:14:05,1614082446483,0,23/02/2021 12:14:06,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,5,C3,Zone3,timelimit_screen,3999.995999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
26,1614082446601,23/02/2021 12:14:06,1614082447217,0,23/02/2021 12:14:07,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,6,D3,BEST,response_button_text,724.7699999716133,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
27,1614082449696,23/02/2021 12:14:09,1614082450217,0,23/02/2021 12:14:10,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,25,lose,advancementZone,timelimit_screen,3000.096000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
28,1614082449821,23/02/2021 12:14:09,1614082450234,0,23/02/2021 12:14:10,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,14,3,29,next,content,timelimit_screen,16.706999999994878,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
29,1614082455650,23/02/2021 12:14:15,1614082456233,0,23/02/2021 12:14:16,27662,6,task-qqd9,,10287642,59436f11d8d2690001d0a5b6,3130092,,complete,,6034ee614e9dcba01bf04b7b,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1920x969,,Hybrid 2 bruno sequence,5,9,9,9,7,4,1,instructions,advancementZone,timelimit_screen,5999.888000000006,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
