Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082951107,23/02/2021 12:22:31,1614082951014,0,23/02/2021 12:22:31,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082957021,23/02/2021 12:22:37,1614082957001,0,23/02/2021 12:22:37,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,1,1,1,instructions,advancementZone,timelimit_screen,6001.56,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082961044,23/02/2021 12:22:41,1614082960994,0,23/02/2021 12:22:40,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,1,C1,Zone3,timelimit_screen,4000.994999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
4,1614082965302,23/02/2021 12:22:45,1614082965259,0,23/02/2021 12:22:45,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,2,D1,Zone3,response_button_text,4214.839999913238,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
5,1614082969274,23/02/2021 12:22:49,1614082969245,0,23/02/2021 12:22:49,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,3,C2,Zone3,timelimit_screen,4000.982,,,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
6,1614082970199,23/02/2021 12:22:50,1614082970173,0,23/02/2021 12:22:50,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,4,D2,BEST,response_button_text,882.85499997437,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
7,1614082973195,23/02/2021 12:22:53,1614082973164,0,23/02/2021 12:22:53,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,26,5star,advancementZone,timelimit_screen,3000.596999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
8,1614082973289,23/02/2021 12:22:53,1614082973197,0,23/02/2021 12:22:53,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,8,1,29,next,content,timelimit_screen,16.702000000001135,,,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
9,1614082979204,23/02/2021 12:22:59,1614082979182,0,23/02/2021 12:22:59,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,3,2,1,instructions,advancementZone,timelimit_screen,6001.490000000002,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614082983193,23/02/2021 12:23:03,1614082983182,0,23/02/2021 12:23:03,27662,6,task-s61l,,10288028,5eee0dc4b02df0070d4e7683,3130238,,complete,,6034f0b39dd7b80521d53b49,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1500x1000,1500x890,,Hybrid 2 bruno sequence,5,4,4,4,4,2,1,C1,Zone3,timelimit_screen,4000.977999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,lose,lose,lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
