Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082407820,23/02/2021 12:13:27,1614082407755,0,23/02/2021 12:13:27,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082413810,23/02/2021 12:13:33,1614082413774,0,23/02/2021 12:13:33,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,1,1,1,instructions,advancementZone,timelimit_screen,5999.76,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082417766,23/02/2021 12:13:37,1614082417758,0,23/02/2021 12:13:37,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,1,C1,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
4,1614082420016,23/02/2021 12:13:40,1614082420009,0,23/02/2021 12:13:40,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,2,D1,Zone3,response_button_text,2236.080000002403,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
5,1614082424250,23/02/2021 12:13:44,1614082423996,0,23/02/2021 12:13:43,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,3,C2,Zone3,timelimit_screen,3999.8399999999983,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
6,1614082424988,23/02/2021 12:13:44,1614082425000,0,23/02/2021 12:13:45,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,4,D2,lose,response_button_text,984.535000003234,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
7,1614082428991,23/02/2021 12:13:48,1614082428996,0,23/02/2021 12:13:48,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,5,C3,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
8,1614082430954,23/02/2021 12:13:50,1614082430910,0,23/02/2021 12:13:50,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,6,D3,lose,response_button_text,1895.8849999980885,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
9,1614082434906,23/02/2021 12:13:54,1614082434901,0,23/02/2021 12:13:54,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,7,C4,Zone3,timelimit_screen,4005.2549999999974,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
10,1614082436829,23/02/2021 12:13:56,1614082436836,0,23/02/2021 12:13:56,27662,6,task-ugzm,,10287675,5b93a7f81ac7e70001f4adcf,3130070,,complete,,6034edb6048d0c94b3f2f746,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.182,1440x900,1440x821,,Hybrid 2 bruno sequence,5,2,2,2,6,1,8,D4,BEST,response_button_text,1917.5949999989825,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>723</strong>,<strong>720</strong>,<strong>768</strong>,<strong>1253.99</strong>,,lose,1star,3star,5star,lose,lose,lose,lose,lose,lose,lose,lose,<strong>989.99</strong>,<strong>811</strong>,Option4,Option3,Option2
