Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vvbk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614082422205,23/02/2021 12:13:42,1614082422124,0,23/02/2021 12:13:42,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614082428200,23/02/2021 12:13:48,1614082428133,0,23/02/2021 12:13:48,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,1,1,1,instructions,advancementZone,timelimit_screen,5999.611,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614082432220,23/02/2021 12:13:52,1614082432117,0,23/02/2021 12:13:52,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,1,C1,Zone3,timelimit_screen,3999.678000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
4,1614082434625,23/02/2021 12:13:54,1614082434442,0,23/02/2021 12:13:54,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,2,D1,Zone3,response_button_text,2306.385000003502,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
5,1614082438470,23/02/2021 12:13:58,1614082438433,0,23/02/2021 12:13:58,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,3,C2,Zone3,timelimit_screen,3999.7309999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
6,1614082439770,23/02/2021 12:13:59,1614082439741,0,23/02/2021 12:13:59,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,4,D2,lose,response_button_text,1287.2199999401346,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
7,1614082443839,23/02/2021 12:14:03,1614082443733,0,23/02/2021 12:14:03,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,5,C3,Zone3,timelimit_screen,3999.7479999999996,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
8,1614082444730,23/02/2021 12:14:04,1614082444703,0,23/02/2021 12:14:04,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,6,D3,lose,response_button_text,952.6900000637397,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
9,1614082448821,23/02/2021 12:14:08,1614082448698,0,23/02/2021 12:14:08,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,7,C4,Zone3,timelimit_screen,3999.5600000000013,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
10,1614082449539,23/02/2021 12:14:09,1614082449439,0,23/02/2021 12:14:09,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Hybrid 2 bruno sequence,5,8,8,8,10,1,8,D4,lose,response_button_text,713.1599999265745,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
11,1614082453462,23/02/2021 12:14:13,1614082453436,0,23/02/2021 12:14:13,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1519x698,,Hybrid 2 bruno sequence,5,8,8,8,10,1,9,C5,Zone3,timelimit_screen,3999.9230000000025,,,,,0,1,0,,,1,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
12,1614082454728,23/02/2021 12:14:14,1614082454355,0,23/02/2021 12:14:14,27662,6,task-z27m,,10287687,602172368b05e6143e5f27b7,3130126,,complete,,6034ef2d9723d59d44356af8,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1519x698,,Hybrid 2 bruno sequence,5,8,8,8,10,1,10,D5,lose,response_button_text,902.5649999966845,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>673.99</strong>,<strong>1123</strong>,<strong>1008</strong>,<strong>787</strong>,<strong>1155</strong>,<strong>1152</strong>,<strong>795.99</strong>,<strong>915</strong>,<strong>723</strong>,<strong>1253.99</strong>,,5star,lose,lose,lose,lose,lose,lose,lose,3star,lose,1star,lose,<strong>744</strong>,<strong>745.75</strong>,Option1,Option9,Option11
