Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614162180363,24/02/2021 10:23:00,1614161966493,0,24/02/2021 10:19:26,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614162186308,24/02/2021 10:23:06,1614161972497,0,24/02/2021 10:19:32,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,1,1,1,instructions,advancementZone,timelimit_screen,5995.224,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614162190027,24/02/2021 10:23:10,1614161976484,0,24/02/2021 10:19:36,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,1,C1,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
4,1614162192683,24/02/2021 10:23:12,1614161979180,0,24/02/2021 10:19:39,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,2,D1,Zone3,response_button_text,2682.3050000239164,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
5,1614162196675,24/02/2021 10:23:16,1614161983168,0,24/02/2021 10:19:43,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,3,C2,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
6,1614162197893,24/02/2021 10:23:17,1614161984390,0,24/02/2021 10:19:44,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,4,D2,lose,response_button_text,1209.5899998676032,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
7,1614162202225,24/02/2021 10:23:22,1614161988391,0,24/02/2021 10:19:48,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,5,C3,Zone3,timelimit_screen,4007.126,,,,,0,1,0,,,1,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
8,1614162202622,24/02/2021 10:23:22,1614161989137,0,24/02/2021 10:19:49,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,6,D3,BEST,response_button_text,733.2599998917431,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
9,1614162207196,24/02/2021 10:23:27,1614161993711,0,24/02/2021 10:19:53,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,39,grey3_5star,Zone3,continue_button,4560.694999992847,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
10,1614162209929,24/02/2021 10:23:29,1614161996437,0,24/02/2021 10:19:56,32735,4,task-3elb,,10318400,5d8490e96620d200186fc513,3139696,,complete,,6036287ee362cbd940dedcf2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.88,1440x900,1440x821,,Hybrid 3: Bruno sequence,4,1,1,1,6,1,40,grey4_5star,Zone3,continue_button,2713.2299998775125,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>1133.99</strong>,<strong>989.99</strong>,<strong>673.99</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,grey1_lose,grey2_lose,grey3_5star,grey4_lose,grey5_lose,grey6_1star,grey7_lose,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option6
