Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614162387981,24/02/2021 10:26:27,1614162387892,0,24/02/2021 10:26:27,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614162393955,24/02/2021 10:26:33,1614162393906,0,24/02/2021 10:26:33,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,1,1,1,instructions,advancementZone,timelimit_screen,5999.76,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614162397974,24/02/2021 10:26:37,1614162397901,0,24/02/2021 10:26:37,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,1,C1,Zone3,timelimit_screen,4005.6900000000005,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
4,1614162400449,24/02/2021 10:26:40,1614162400376,0,24/02/2021 10:26:40,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,2,D1,Zone3,response_button_text,2464.0499999999283,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
5,1614162404396,24/02/2021 10:26:44,1614162404367,0,24/02/2021 10:26:44,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,3,C2,Zone3,timelimit_screen,3999.840000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
6,1614162405304,24/02/2021 10:26:45,1614162405258,0,24/02/2021 10:26:45,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,4,D2,BEST,response_button_text,879.5800000000309,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
7,1614162408169,24/02/2021 10:26:48,1614162408115,0,24/02/2021 10:26:48,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,26,grey2_lose,Zone3,continue_button,2844.679999999924,,,,,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
8,1614162412529,24/02/2021 10:26:52,1614162412496,0,24/02/2021 10:26:52,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,27,grey3_lose,Zone3,continue_button,4371.255000000019,,,,,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
9,1614162413085,24/02/2021 10:26:53,1614162413028,0,24/02/2021 10:26:53,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,28,grey4_lose,Zone3,continue_button,521.9749999999985,,,,,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
10,1614162413690,24/02/2021 10:26:53,1614162413618,0,24/02/2021 10:26:53,32735,4,task-ec8d,,10318604,5e8323596900a20008d70aea,3139750,,complete,,6036291e693987cc4d2c4b3c,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 88.0.4324.192,1792x1120,1792x891,,Hybrid 3: Bruno sequence,4,4,4,4,4,1,29,grey5_lose,Zone3,continue_button,579.5049999999283,,,,,0,1,0,,,,,1,sequence,,,<strong>1320</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>795.99</strong>,<strong>749.99</strong>,<strong>431.76</strong>,<strong>1322</strong>,<strong>552</strong>,<strong>1065.99</strong>,<strong>1253.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_lose,grey10_lose,grey11_lose,1star,<strong>864</strong>,<strong>745.75</strong>,Option6,Option8,Option12
