Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614161802480,24/02/2021 10:16:42,1614161803516,0,24/02/2021 10:16:43,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614161808351,24/02/2021 10:16:48,1614161809454,0,24/02/2021 10:16:49,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,1,1,1,instructions,advancementZone,timelimit_screen,5994.994,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614161812414,24/02/2021 10:16:52,1614161813447,0,24/02/2021 10:16:53,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,1,C1,Zone3,timelimit_screen,4003.5519999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
4,1614161814617,24/02/2021 10:16:54,1614161815739,0,24/02/2021 10:16:55,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,2,D1,Zone3,response_button_text,2258.0549999838695,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
5,1614161818605,24/02/2021 10:16:58,1614161819731,0,24/02/2021 10:16:59,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,3,C2,Zone3,timelimit_screen,3994.032000000001,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
6,1614161819483,24/02/2021 10:16:59,1614161820602,0,24/02/2021 10:17:00,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,4,D2,lose,response_button_text,832.0299999322742,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
7,1614161823610,24/02/2021 10:17:03,1614161824607,0,24/02/2021 10:17:04,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,5,C3,Zone3,timelimit_screen,4006.9919999999984,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
8,1614161824268,24/02/2021 10:17:04,1614161825326,0,24/02/2021 10:17:05,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,6,D3,lose,response_button_text,668.0299999425188,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
9,1614161828220,24/02/2021 10:17:08,1614161829332,0,24/02/2021 10:17:09,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,7,C4,Zone3,timelimit_screen,4004.6359999999986,,,,,0,1,0,,,1,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
10,1614161829051,24/02/2021 10:17:09,1614161830173,0,24/02/2021 10:17:10,32735,4,task-ga5z,,10318129,60127750729e662b6d9a11a5,3139627,,complete,,603626ccc95481c13b5d4481,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x625,,Hybrid 3: Bruno sequence,4,7,7,7,2,1,8,D4,lose,response_button_text,799.4000000180677,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>769.75</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>749.99</strong>,<strong>1032</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_1star,grey6_lose,grey7_lose,grey8_3star,grey9_5star,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option9,Option8,Option5
