Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614162519488,24/02/2021 10:28:39,1614162518269,0,24/02/2021 10:28:38,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614162525471,24/02/2021 10:28:45,1614162524271,0,24/02/2021 10:28:44,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,1,1,1,instructions,advancementZone,timelimit_screen,5999.702,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614162529709,24/02/2021 10:28:49,1614162528257,0,24/02/2021 10:28:48,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,1,C1,Zone3,timelimit_screen,3999.876,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
4,1614162532102,24/02/2021 10:28:52,1614162530898,0,24/02/2021 10:28:50,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,2,D1,Zone3,response_button_text,2608.5250000469387,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
5,1614162536078,24/02/2021 10:28:56,1614162534890,0,24/02/2021 10:28:54,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,3,C2,Zone3,timelimit_screen,3999.840000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
6,1614162537474,24/02/2021 10:28:57,1614162536266,0,24/02/2021 10:28:56,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,4,D2,lose,response_button_text,1351.5349999652244,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
7,1614162541455,24/02/2021 10:29:01,1614162540255,0,24/02/2021 10:29:00,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,5,C3,Zone3,timelimit_screen,3999.8420000000006,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
8,1614162543075,24/02/2021 10:29:03,1614162541890,0,24/02/2021 10:29:01,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,6,D3,lose,response_button_text,1612.5400000019,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
9,1614162547138,24/02/2021 10:29:07,1614162545887,0,24/02/2021 10:29:05,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,7,C4,Zone3,timelimit_screen,3999.841999999997,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
10,1614162548404,24/02/2021 10:29:08,1614162547204,0,24/02/2021 10:29:07,32735,4,task-ijoq,,10318737,5ed0ff79d782b5000bda8eca,3139763,,complete,,603629a234ae7ccc1c6d8c25,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x663,,Hybrid 3: Bruno sequence,4,3,3,3,2,1,8,D4,lose,response_button_text,1292.940000013914,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>989.99</strong>,<strong>917.99</strong>,<strong>551.76</strong>,<strong>871.99</strong>,<strong>745.99</strong>,<strong>1115.99</strong>,<strong>1322</strong>,<strong>865.99</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>768</strong>,<strong>1253.99</strong>,Option5,Option7,Option2
