Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614162220682,24/02/2021 10:23:40,1614162219864,0,24/02/2021 10:23:39,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614162226623,24/02/2021 10:23:46,1614162225865,0,24/02/2021 10:23:45,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,1,1,1,instructions,advancementZone,timelimit_screen,5999.76,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614162230649,24/02/2021 10:23:50,1614162229838,0,24/02/2021 10:23:49,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,1,C1,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
4,1614162234296,24/02/2021 10:23:54,1614162233479,0,24/02/2021 10:23:53,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,2,D1,Zone3,response_button_text,3579.0000000270084,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
5,1614162238227,24/02/2021 10:23:58,1614162237452,0,24/02/2021 10:23:57,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,3,C2,Zone3,timelimit_screen,3999.840000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
6,1614162239475,24/02/2021 10:23:59,1614162238704,0,24/02/2021 10:23:58,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,4,D2,lose,response_button_text,1211.0000000102445,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
7,1614162243459,24/02/2021 10:24:03,1614162242687,0,24/02/2021 10:24:02,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,5,C3,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
8,1614162244759,24/02/2021 10:24:04,1614162243677,0,24/02/2021 10:24:03,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,6,D3,lose,response_button_text,903.0000000493601,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
9,1614162248451,24/02/2021 10:24:08,1614162247670,0,24/02/2021 10:24:07,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,7,C4,Zone3,timelimit_screen,3999.84,,,,,0,1,0,,,1,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
10,1614162249329,24/02/2021 10:24:09,1614162248550,0,24/02/2021 10:24:08,32735,4,task-iqyk,,10318437,5caf1f3e851c17001362968b,3139702,,complete,,603628ac901d33e08089dbd3,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1600x900,1600x795,,Hybrid 3: Bruno sequence,4,8,8,8,4,1,8,D4,lose,response_button_text,822.0000000437722,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>799.99</strong>,<strong>749.99</strong>,<strong>1691.99</strong>,<strong>1113.99</strong>,<strong>839.75</strong>,<strong>720</strong>,<strong>667</strong>,<strong>1320</strong>,<strong>801.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_lose,grey4_lose,grey5_lose,grey6_3star,grey7_5star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option7,Option6,Option2
