Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614162191769,24/02/2021 10:23:11,1614162191374,0,24/02/2021 10:23:11,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614162197956,24/02/2021 10:23:17,1614162197568,0,24/02/2021 10:23:17,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,1,1,1,instructions,advancementZone,timelimit_screen,6006,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614162201935,24/02/2021 10:23:21,1614162201559,0,24/02/2021 10:23:21,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,1,C1,Zone3,timelimit_screen,3994,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
4,1614162204866,24/02/2021 10:23:24,1614162204425,0,24/02/2021 10:23:24,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,2,D1,Zone3,response_button_text,2854,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
5,1614162208788,24/02/2021 10:23:28,1614162208409,0,24/02/2021 10:23:28,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,3,C2,Zone3,timelimit_screen,4005,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
6,1614162209897,24/02/2021 10:23:29,1614162209528,0,24/02/2021 10:23:29,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,4,D2,lose,response_button_text,1106,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
7,1614162213911,24/02/2021 10:23:33,1614162213522,0,24/02/2021 10:23:33,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,5,C3,Zone3,timelimit_screen,4007,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
8,1614162215241,24/02/2021 10:23:35,1614162214868,0,24/02/2021 10:23:34,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,6,D3,lose,response_button_text,1337,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
9,1614162219245,24/02/2021 10:23:39,1614162218874,0,24/02/2021 10:23:38,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,7,C4,Zone3,timelimit_screen,4008,,,,,0,1,0,,,1,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
10,1614162220276,24/02/2021 10:23:40,1614162219863,0,24/02/2021 10:23:39,32735,4,task-v5qe,,10318414,5e7cd598948847066b89bc30,3139694,,complete,,6036281b7e2f60a8314652fe,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1239x679,,Hybrid 3: Bruno sequence,4,2,2,2,2,1,8,D4,lose,response_button_text,978,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>989.99</strong>,<strong>1065.99</strong>,<strong>839.75</strong>,<strong>1115.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,grey1_3star,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_lose,grey7_lose,grey8_1star,grey9_lose,grey10_5star,grey11_lose,lose,<strong>865.99</strong>,<strong>1083</strong>,Option10,Option1,Option8
