Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614161406068,24/02/2021 10:10:06,1614161407458,0,24/02/2021 10:10:07,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614161413023,24/02/2021 10:10:13,1614161414424,0,24/02/2021 10:10:14,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,1,1,1,instructions,advancementZone,timelimit_screen,5999.5830000000005,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614161417024,24/02/2021 10:10:17,1614161418412,0,24/02/2021 10:10:18,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,1,C1,Zone3,timelimit_screen,3999.9259999999995,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
4,1614161420892,24/02/2021 10:10:20,1614161422318,0,24/02/2021 10:10:22,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,2,D1,Zone3,response_button_text,3796.5799998492002,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
5,1614161424874,24/02/2021 10:10:24,1614161426290,0,24/02/2021 10:10:26,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,3,C2,Zone3,timelimit_screen,4000.017,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
6,1614161426073,24/02/2021 10:10:26,1614161427499,0,24/02/2021 10:10:27,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,4,D2,lose,response_button_text,1106.8400000222027,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
7,1614161430265,24/02/2021 10:10:30,1614161431507,0,24/02/2021 10:10:31,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,5,C3,Zone3,timelimit_screen,4000.525999999998,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
8,1614161431981,24/02/2021 10:10:31,1614161433415,0,24/02/2021 10:10:33,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,6,D3,lose,response_button_text,1796.9249999150634,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
9,1614161435999,24/02/2021 10:10:35,1614161437421,0,24/02/2021 10:10:37,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,7,C4,Zone3,timelimit_screen,3999.9660000000003,,,,,0,1,0,,,1,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
10,1614161437030,24/02/2021 10:10:37,1614161438468,0,24/02/2021 10:10:38,32735,4,task-v8w9,,10317790,5f649a5cd14d460266092062,3139567,,complete,,60362599a55e3b533addbf14,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.74,1024x768,1024x657,,Hybrid 3: Bruno sequence,4,5,5,5,4,1,8,D4,lose,response_button_text,938.7250000145286,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>839.75</strong>,<strong>673.99</strong>,<strong>383.76</strong>,<strong>989.99</strong>,<strong>864</strong>,<strong>1008</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>1322</strong>,,grey1_lose,grey2_1star,grey3_5star,grey4_lose,grey5_lose,grey6_lose,grey7_3star,grey8_lose,grey9_lose,grey10_lose,grey11_lose,lose,<strong>871.99</strong>,<strong>1763.99</strong>,Option3,Option7,Option2
