Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614161904525,24/02/2021 10:18:24,1614161903965,0,24/02/2021 10:18:23,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614161910406,24/02/2021 10:18:30,1614161909952,0,24/02/2021 10:18:29,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,1,1,1,instructions,advancementZone,timelimit_screen,5995.265,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614161914386,24/02/2021 10:18:34,1614161913943,0,24/02/2021 10:18:33,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,1,C1,Zone3,timelimit_screen,3996.849,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
4,1614161915839,24/02/2021 10:18:35,1614161915384,0,24/02/2021 10:18:35,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,2,D1,Zone3,response_button_text,1429.3850001413375,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
5,1614161919826,24/02/2021 10:18:39,1614161919371,0,24/02/2021 10:18:39,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,3,C2,Zone3,timelimit_screen,3996.848000000002,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
6,1614161920717,24/02/2021 10:18:40,1614161920275,0,24/02/2021 10:18:40,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,4,D2,lose,response_button_text,880.3600000683218,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
7,1614161924695,24/02/2021 10:18:44,1614161924358,0,24/02/2021 10:18:44,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,5,C3,Zone3,timelimit_screen,3996.8859999999986,,,,,0,1,0,,,1,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
8,1614161925518,24/02/2021 10:18:45,1614161925171,0,24/02/2021 10:18:45,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,6,D3,BEST,response_button_text,789.6300000138581,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
9,1614161928831,24/02/2021 10:18:48,1614161928466,0,24/02/2021 10:18:48,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,27,grey3_lose,Zone3,continue_button,3276.6000002156943,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
10,1614161929947,24/02/2021 10:18:49,1614161929595,0,24/02/2021 10:18:49,32735,4,task-vwjc,,10318199,5d4892d03eb6bf0018399498,3139656,,complete,,603627846391cd846569e246,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x610,,Hybrid 3: Bruno sequence,4,9,9,9,14,1,28,grey4_lose,Zone3,continue_button,1117.3299998044968,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_5star,grey6_lose,grey7_lose,grey8_lose,grey9_1star,grey10_lose,grey11_3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
