Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614161504385,24/02/2021 10:11:44,1614161504316,0,24/02/2021 10:11:44,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614161510380,24/02/2021 10:11:50,1614161510323,0,24/02/2021 10:11:50,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,1,1,1,instructions,advancementZone,timelimit_screen,6000.611,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614161514375,24/02/2021 10:11:54,1614161514308,0,24/02/2021 10:11:54,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,1,C1,Zone3,timelimit_screen,4000.08,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
4,1614161517860,24/02/2021 10:11:57,1614161517668,0,24/02/2021 10:11:57,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,2,D1,Zone3,response_button_text,3341.4949999423698,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
5,1614161521712,24/02/2021 10:12:01,1614161521641,0,24/02/2021 10:12:01,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,3,C2,Zone3,timelimit_screen,4000.655999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
6,1614161523476,24/02/2021 10:12:03,1614161523409,0,24/02/2021 10:12:03,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,4,D2,lose,response_button_text,1750.3550000255927,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
7,1614161527485,24/02/2021 10:12:07,1614161527407,0,24/02/2021 10:12:07,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,5,C3,Zone3,timelimit_screen,4000.0800000000017,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
8,1614161528795,24/02/2021 10:12:08,1614161528690,0,24/02/2021 10:12:08,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,6,D3,lose,response_button_text,1264.8950000293553,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
9,1614161533408,24/02/2021 10:12:13,1614161532676,0,24/02/2021 10:12:12,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,7,C4,Zone3,timelimit_screen,4000.6399999999994,,,,,0,1,0,,,1,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
10,1614161534129,24/02/2021 10:12:14,1614161533430,0,24/02/2021 10:12:13,32735,4,task-wl3e,,10317903,5d41bdfb88d03a001701ebd7,3139584,,complete,,603625c3c2f57e9b677253a7,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 87.0.4280.141,1440x900,1440x789,,Hybrid 3: Bruno sequence,4,10,10,10,4,1,8,D4,lose,response_button_text,737.275000079535,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>749.99</strong>,<strong>1113.99</strong>,<strong>723</strong>,<strong>915</strong>,<strong>869.99</strong>,<strong>552</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,<strong>673.99</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_1star,grey5_lose,grey6_lose,grey7_5star,grey8_lose,grey9_lose,grey10_3star,grey11_lose,lose,<strong>1008</strong>,<strong>769.75</strong>,Option7,Option10,Option4
