Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614161733975,24/02/2021 10:15:33,1614161733793,0,24/02/2021 10:15:33,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614161740388,24/02/2021 10:15:40,1614161740317,0,24/02/2021 10:15:40,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,1,1,1,instructions,advancementZone,timelimit_screen,6005.040000000001,,,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614161744383,24/02/2021 10:15:44,1614161744321,0,24/02/2021 10:15:44,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,1,C1,Zone3,timelimit_screen,4003.24,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
4,1614161746887,24/02/2021 10:15:46,1614161746755,0,24/02/2021 10:15:46,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,2,D1,Zone3,response_button_text,2406,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
5,1614161750860,24/02/2021 10:15:50,1614161750762,0,24/02/2021 10:15:50,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,3,C2,Zone3,timelimit_screen,4003.039999999999,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
6,1614161751719,24/02/2021 10:15:51,1614161751585,0,24/02/2021 10:15:51,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,4,D2,lose,response_button_text,800,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
7,1614161755688,24/02/2021 10:15:55,1614161755583,0,24/02/2021 10:15:55,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,5,C3,Zone3,timelimit_screen,4003,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
8,1614161756506,24/02/2021 10:15:56,1614161756350,0,24/02/2021 10:15:56,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,6,D3,lose,response_button_text,746,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
9,1614161761061,24/02/2021 10:16:01,1614161760352,0,24/02/2021 10:16:00,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,7,C4,Zone3,timelimit_screen,4003.2000000000007,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
10,1614161761951,24/02/2021 10:16:01,1614161760884,0,24/02/2021 10:16:00,32735,4,task-zthr,,10318066,603522a9c58a9e78ebc49eef,3139622,,complete,,603626acaaacb7095137c043,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1366x768,1304x638,,Hybrid 3: Bruno sequence,4,6,6,6,12,1,8,D4,lose,response_button_text,507,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,grey1_lose,grey2_lose,grey3_lose,grey4_lose,grey5_lose,grey6_5star,grey7_lose,grey8_3star,grey9_1star,grey10_lose,grey11_lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
