Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175745519,24/02/2021 14:09:05,1614175748000,0,24/02/2021 14:09:08,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175751160,24/02/2021 14:09:11,1614175753617,0,24/02/2021 14:09:13,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,1,1,1,instructions,Zone1,continue_button,5446.059999987483,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175758997,24/02/2021 14:09:18,1614175761433,0,24/02/2021 14:09:21,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,1,C1,Zone3,continue_button,7737.145000137389,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
4,1614175760861,24/02/2021 14:09:20,1614175763361,0,24/02/2021 14:09:23,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,2,D1,Zone3,response_button_text,1916.9649998657405,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
5,1614175766599,24/02/2021 14:09:26,1614175769112,0,24/02/2021 14:09:29,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,3,C2,Zone3,continue_button,5735.224999953061,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
6,1614175769045,24/02/2021 14:09:29,1614175771510,0,24/02/2021 14:09:31,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,4,D2,lose,response_button_text,2380.2600000053644,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
7,1614175773344,24/02/2021 14:09:33,1614175775855,0,24/02/2021 14:09:35,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,5,C3,Zone3,continue_button,4323.67999991402,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
8,1614175775572,24/02/2021 14:09:35,1614175778085,0,24/02/2021 14:09:38,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,6,D3,lose,response_button_text,2218.5100000351667,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
9,1614175777595,24/02/2021 14:09:37,1614175780111,0,24/02/2021 14:09:40,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,7,C4,Zone3,continue_button,2013.7000000104308,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
10,1614175778610,24/02/2021 14:09:38,1614175781109,0,24/02/2021 14:09:41,37649,6,task-3elb,,10328974,5c6c3d9ef9a2ce00015b2077,3142537,,complete,,60365d824395ef62544ad52d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1280x720,1280x610,,Hybrid 5: Bruno sequence,7,1,1,1,14,1,8,D4,lose,response_button_text,980.9449999593198,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>865.99</strong>,<strong>989.99</strong>,<strong>720</strong>,<strong>552</strong>,,1star,lose,lose,lose,5star,lose,lose,lose,lose,3star,lose,lose,<strong>1345</strong>,<strong>915</strong>,Option5,Option10,Option1
