Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614176168772,24/02/2021 14:16:08,1614176167214,0,24/02/2021 14:16:07,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614176175006,24/02/2021 14:16:15,1614176173444,0,24/02/2021 14:16:13,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,1,1,1,instructions,Zone1,continue_button,6082.960000028834,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614176194017,24/02/2021 14:16:34,1614176192504,0,24/02/2021 14:16:32,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,1,C1,Zone3,continue_button,18995.965000009164,,,,,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
4,1614176196140,24/02/2021 14:16:36,1614176194598,0,24/02/2021 14:16:34,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,2,D1,Zone3,response_button_text,2080.1900000078604,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
5,1614176204121,24/02/2021 14:16:44,1614176202516,0,24/02/2021 14:16:42,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,3,C2,Zone3,continue_button,7905.5750000989065,,,,,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
6,1614176205027,24/02/2021 14:16:45,1614176203502,0,24/02/2021 14:16:43,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,4,D2,BEST,response_button_text,969.5449999999255,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
7,1614176210576,24/02/2021 14:16:50,1614176209052,0,24/02/2021 14:16:49,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,26,5star,Zone3,continue_button,5535.004999954253,,,,,0,1,0,,,,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
8,1614176210951,24/02/2021 14:16:50,1614176209071,0,24/02/2021 14:16:49,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,8,1,29,blank,Zone1,timelimit_screen,16.802000000003318,,,,,0,1,0,,,1,,1,sequence,,,<strong>779</strong>,<strong>359.76</strong>,<strong>749.99</strong>,<strong>1139.99</strong>,<strong>1155</strong>,<strong>1253.99</strong>,<strong>825.99</strong>,<strong>745.99</strong>,<strong>915</strong>,<strong>1065.99</strong>,,lose,5star,lose,lose,lose,lose,lose,1star,lose,lose,3star,lose,<strong>723</strong>,<strong>768</strong>,Option2,Option11,Option8
9,1614176213308,24/02/2021 14:16:53,1614176211775,0,24/02/2021 14:16:51,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,3,2,1,instructions,Zone1,continue_button,2697.1449999837205,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614176216317,24/02/2021 14:16:56,1614176214788,0,24/02/2021 14:16:54,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,14,2,1,C1,Zone3,continue_button,2941.690000006929,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
11,1614176217430,24/02/2021 14:16:57,1614176215908,0,24/02/2021 14:16:55,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,14,2,2,D1,Zone3,response_button_text,1107.4400000507012,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
12,1614176220367,24/02/2021 14:17:00,1614176218849,0,24/02/2021 14:16:58,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,14,2,3,C2,Zone3,continue_button,2923.614999977872,,,,,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
13,1614176221596,24/02/2021 14:17:01,1614176220064,0,24/02/2021 14:17:00,37649,6,task-ec8d,,10329336,592c3abc7d3b760001a287b7,3142628,,complete,,60365f0dbdd7d1724e515eb7,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Hybrid 5: Bruno sequence,7,4,4,4,14,2,4,D2,lose,response_button_text,1197.2850000020117,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>667</strong>,<strong>871.99</strong>,<strong>725.99</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>787</strong>,<strong>723</strong>,<strong>795.99</strong>,<strong>1229.99</strong>,,3star,lose,lose,lose,5star,lose,lose,lose,lose,lose,lose,1star,<strong>744</strong>,<strong>673.99</strong>,Option5,Option1,Option12
