Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175779385,24/02/2021 14:09:39,1614175777692,0,24/02/2021 14:09:37,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175786844,24/02/2021 14:09:46,1614175785206,0,24/02/2021 14:09:45,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,1,1,1,instructions,Zone1,continue_button,7252.520000000004,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175795035,24/02/2021 14:09:55,1614175793370,0,24/02/2021 14:09:53,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,1,C1,Zone3,continue_button,8053.115000000047,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
4,1614175797324,24/02/2021 14:09:57,1614175795691,0,24/02/2021 14:09:55,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,2,D1,Zone3,response_button_text,2305.7549999999756,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
5,1614175799616,24/02/2021 14:09:59,1614175797973,0,24/02/2021 14:09:57,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,3,C2,Zone3,continue_button,2264.324999999986,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
6,1614175801051,24/02/2021 14:10:01,1614175799368,0,24/02/2021 14:09:59,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,4,D2,lose,response_button_text,1372.989999999958,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
7,1614175804149,24/02/2021 14:10:04,1614175802439,0,24/02/2021 14:10:02,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,5,C3,Zone3,continue_button,3051.8899999999558,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
8,1614175810214,24/02/2021 14:10:10,1614175808548,0,24/02/2021 14:10:08,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,6,D3,lose,response_button_text,6094.564999999991,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
9,1614175811430,24/02/2021 14:10:11,1614175809779,0,24/02/2021 14:10:09,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,7,C4,Zone3,continue_button,1212.2050000000381,,,,,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
10,1614175812415,24/02/2021 14:10:12,1614175810765,0,24/02/2021 14:10:10,37649,6,task-ga5z,,10329002,5f0465ac0be6d56b2e03ff6a,3142514,,complete,,60365ce9fadda35202afcf6f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,7,7,7,6,1,8,D4,lose,response_button_text,974.3550000000614,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>811</strong>,<strong>1187.99</strong>,<strong>383.76</strong>,<strong>865.99</strong>,<strong>1155.99</strong>,<strong>1691.99</strong>,<strong>1123</strong>,<strong>1139.99</strong>,<strong>1709</strong>,<strong>431.76</strong>,,lose,lose,5star,lose,lose,lose,lose,lose,lose,3star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option3,Option10,Option11
