Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175379188,24/02/2021 14:02:59,1614175379077,0,24/02/2021 14:02:59,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175384821,24/02/2021 14:03:04,1614175384727,0,24/02/2021 14:03:04,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,1,1,1,instructions,Zone1,continue_button,5569.574999999986,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175399830,24/02/2021 14:03:19,1614175399773,0,24/02/2021 14:03:19,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,1,C1,Zone3,continue_button,14999.279999999999,,,,,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
4,1614175404269,24/02/2021 14:03:24,1614175404205,0,24/02/2021 14:03:24,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,2,D1,Zone3,response_button_text,4424.414999999954,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
5,1614175409756,24/02/2021 14:03:29,1614175409672,0,24/02/2021 14:03:29,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,3,C2,Zone3,continue_button,5459.344999999983,,,,,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
6,1614175410795,24/02/2021 14:03:30,1614175410718,0,24/02/2021 14:03:30,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,4,D2,lose,response_button_text,1038.575000000037,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
7,1614175415952,24/02/2021 14:03:35,1614175415893,0,24/02/2021 14:03:35,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,5,C3,Zone3,continue_button,5166.630000000056,,,,,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
8,1614175416755,24/02/2021 14:03:36,1614175416693,0,24/02/2021 14:03:36,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,6,D3,lose,response_button_text,792.6100000000806,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
9,1614175419416,24/02/2021 14:03:39,1614175419336,0,24/02/2021 14:03:39,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,7,C4,Zone3,continue_button,2635.764999999992,,,,,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
10,1614175420182,24/02/2021 14:03:40,1614175420112,0,24/02/2021 14:03:40,37649,6,task-ijoq,,10328714,5a399375a324900001af02b8,3142449,,complete,,60365c09ebe7997489b02809,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 88.0.4324.182,2560x1440,2061x1214,,Hybrid 5: Bruno sequence,7,3,3,3,6,1,8,D4,lose,response_button_text,770.0649999999296,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>795.99</strong>,<strong>779</strong>,<strong>725.99</strong>,<strong>1065.99</strong>,<strong>787</strong>,<strong>864</strong>,<strong>1032</strong>,<strong>825.99</strong>,<strong>1065.99</strong>,<strong>431.76</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,1star,lose,<strong>744</strong>,<strong>1320</strong>,Option10,Option3,Option11
