Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175326238,24/02/2021 14:02:06,1614175326013,0,24/02/2021 14:02:06,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175331842,24/02/2021 14:02:11,1614175331648,0,24/02/2021 14:02:11,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,1,1,1,instructions,Zone1,continue_button,5214.549999684095,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175339117,24/02/2021 14:02:19,1614175338918,0,24/02/2021 14:02:18,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,1,C1,Zone3,continue_button,7017.509999684989,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
4,1614175340840,24/02/2021 14:02:20,1614175340664,0,24/02/2021 14:02:20,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,2,D1,Zone3,response_button_text,1699.5350001379848,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
5,1614175342997,24/02/2021 14:02:22,1614175342799,0,24/02/2021 14:02:22,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,3,C2,Zone3,continue_button,2107.3900000192225,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
6,1614175343747,24/02/2021 14:02:23,1614175343551,0,24/02/2021 14:02:23,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,4,D2,lose,response_button_text,721.1850001476705,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
7,1614175347939,24/02/2021 14:02:27,1614175347756,0,24/02/2021 14:02:27,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,5,C3,Zone3,continue_button,4146.424999926239,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
8,1614175348689,24/02/2021 14:02:28,1614175348504,0,24/02/2021 14:02:28,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,6,D3,lose,response_button_text,707.1199999190867,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
9,1614175350552,24/02/2021 14:02:30,1614175350327,0,24/02/2021 14:02:30,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,7,C4,Zone3,continue_button,1767.3700000159442,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
10,1614175351599,24/02/2021 14:02:31,1614175351402,0,24/02/2021 14:02:31,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,8,D4,lose,response_button_text,1047.6950001902878,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
11,1614175353083,24/02/2021 14:02:33,1614175352902,0,24/02/2021 14:02:32,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,9,C5,Zone3,continue_button,1428.4449997358024,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
12,1614175353834,24/02/2021 14:02:33,1614175353631,0,24/02/2021 14:02:33,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,10,D5,lose,response_button_text,687.4549998901784,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
13,1614175355858,24/02/2021 14:02:35,1614175355679,0,24/02/2021 14:02:35,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,11,C6,Zone3,continue_button,1967.2249997965991,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
14,1614175356641,24/02/2021 14:02:36,1614175356440,0,24/02/2021 14:02:36,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,12,D6,lose,response_button_text,717.9299998097122,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
15,1614175358190,24/02/2021 14:02:38,1614175357961,0,24/02/2021 14:02:37,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,13,C7,Zone3,continue_button,1447.3300003446639,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
16,1614175359159,24/02/2021 14:02:39,1614175358961,0,24/02/2021 14:02:38,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,14,D7,lose,response_button_text,959.3150001019239,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
17,1614175362378,24/02/2021 14:02:42,1614175362184,0,24/02/2021 14:02:42,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,15,C8,Zone3,continue_button,3144.8949999175966,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
18,1614175363206,24/02/2021 14:02:43,1614175363021,0,24/02/2021 14:02:43,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,16,D8,BEST,response_button_text,802.6850000023842,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
19,1614175365081,24/02/2021 14:02:45,1614175364895,0,24/02/2021 14:02:44,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,25,lose,Zone2,continue_button,1840.7250000163913,,,,,0,1,0,,,,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
20,1614175365190,24/02/2021 14:02:45,1614175364954,0,24/02/2021 14:02:44,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,14,1,29,blank,Zone1,timelimit_screen,31.010999999998603,,,,,0,1,0,,,1,,1,sequence,,,<strong>383.76</strong>,<strong>865.99</strong>,<strong>825.99</strong>,<strong>431.76</strong>,<strong>1065.99</strong>,<strong>869.99</strong>,<strong>941.99</strong>,<strong>864</strong>,<strong>1345</strong>,<strong>843</strong>,,5star,lose,lose,3star,lose,lose,lose,lose,lose,lose,1star,lose,<strong>779</strong>,<strong>787</strong>,Option1,Option4,Option11
21,1614175372194,24/02/2021 14:02:52,1614175371999,0,24/02/2021 14:02:51,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,3,2,1,instructions,Zone1,continue_button,6997.850000392646,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1614175374813,24/02/2021 14:02:54,1614175374623,0,24/02/2021 14:02:54,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,1,C1,Zone3,continue_button,2328.7649997510016,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
23,1614175376532,24/02/2021 14:02:56,1614175376339,0,24/02/2021 14:02:56,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,2,D1,Zone3,response_button_text,1683.0450003035367,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
24,1614175377735,24/02/2021 14:02:57,1614175377551,0,24/02/2021 14:02:57,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,3,C2,Zone3,continue_button,1165.4750001616776,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
25,1614175378341,24/02/2021 14:02:58,1614175378151,0,24/02/2021 14:02:58,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,4,D2,lose,response_button_text,567.3600002191961,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
26,1614175379560,24/02/2021 14:02:59,1614175379318,0,24/02/2021 14:02:59,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,5,C3,Zone3,continue_button,1122.2999999299645,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
27,1614175380455,24/02/2021 14:03:00,1614175380255,0,24/02/2021 14:03:00,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,6,D3,lose,response_button_text,889.5050003193319,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
28,1614175381377,24/02/2021 14:03:01,1614175381191,0,24/02/2021 14:03:01,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,7,C4,Zone3,continue_button,868.0999996140599,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
29,1614175381954,24/02/2021 14:03:01,1614175381759,0,24/02/2021 14:03:01,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,8,D4,lose,response_button_text,532.8150000423193,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
30,1614175382919,24/02/2021 14:03:02,1614175382736,0,24/02/2021 14:03:02,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,9,C5,Zone3,continue_button,924.4699999690056,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
31,1614175383533,24/02/2021 14:03:03,1614175383303,0,24/02/2021 14:03:03,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,10,D5,lose,response_button_text,531.7250001244247,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
32,1614175384596,24/02/2021 14:03:04,1614175384421,0,24/02/2021 14:03:04,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,11,C6,Zone3,continue_button,1065.510000102222,,,,,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
33,1614175385206,24/02/2021 14:03:05,1614175385015,0,24/02/2021 14:03:05,37649,6,task-iqyk,,10328677,6035633ae82ebd374f2c34ea,3142447,,complete,,60365bad19fcad0be9d6c521,computer,Desktop or Laptop,Windows 8.1,Chrome 87.0.4280.141,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,8,8,8,8,2,12,D6,lose,response_button_text,550.2649997361004,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1187.99</strong>,<strong>917.99</strong>,<strong>1691.99</strong>,<strong>725.99</strong>,<strong>359.76</strong>,<strong>825.99</strong>,<strong>811</strong>,<strong>431.76</strong>,<strong>1229.99</strong>,<strong>1032</strong>,,lose,lose,lose,lose,5star,lose,lose,3star,lose,lose,1star,lose,<strong>723</strong>,<strong>1083</strong>,Option5,Option8,Option11
