Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175233622,24/02/2021 14:00:33,1614175233505,0,24/02/2021 14:00:33,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175237889,24/02/2021 14:00:37,1614175237848,0,24/02/2021 14:00:37,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,1,1,1,instructions,Zone1,continue_button,4155,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175244127,24/02/2021 14:00:44,1614175244076,0,24/02/2021 14:00:44,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,1,C1,Zone3,continue_button,6127,,,,,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
4,1614175246924,24/02/2021 14:00:46,1614175246894,0,24/02/2021 14:00:46,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,2,D1,Zone3,response_button_text,2801,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
5,1614175252001,24/02/2021 14:00:52,1614175251962,0,24/02/2021 14:00:51,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,3,C2,Zone3,continue_button,5049.999999999998,,,,,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
6,1614175253501,24/02/2021 14:00:53,1614175253388,0,24/02/2021 14:00:53,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,4,D2,lose,response_button_text,1413,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
7,1614175255907,24/02/2021 14:00:55,1614175255868,0,24/02/2021 14:00:55,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,5,C3,Zone3,continue_button,2462,,,,,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
8,1614175257119,24/02/2021 14:00:57,1614175257085,0,24/02/2021 14:00:57,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,6,D3,BEST,response_button_text,1203.0000000000036,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
9,1614175260129,24/02/2021 14:01:00,1614175260086,0,24/02/2021 14:01:00,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,25,lose,Zone2,continue_button,2986.0000000000036,,,,,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
10,1614175260410,24/02/2021 14:01:00,1614175260101,0,24/02/2021 14:01:00,37649,6,task-v5qe,,10328618,6018376e79cca904d3047935,3142435,,complete,,60365ba40d7c0b9e288fe7e2,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1440x837,,Hybrid 5: Bruno sequence,7,2,2,2,12,1,29,blank,Zone1,timelimit_screen,23,,,,,0,1,0,,,1,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option6,Option12,Option10
