Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614176103943,24/02/2021 14:15:03,1614176093252,0,24/02/2021 14:14:53,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614176109081,24/02/2021 14:15:09,1614176098428,0,24/02/2021 14:14:58,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,1,1,1,instructions,Zone1,continue_button,5097.605000000044,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614176119326,24/02/2021 14:15:19,1614176108636,0,24/02/2021 14:15:08,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,1,C1,Zone3,continue_button,10164.760000000002,,,,,0,1,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
4,1614176122197,24/02/2021 14:15:22,1614176111548,0,24/02/2021 14:15:11,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,2,D1,Zone3,response_button_text,2904.025000000047,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
5,1614176129371,24/02/2021 14:15:29,1614176118717,0,24/02/2021 14:15:18,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,3,C2,Zone3,continue_button,7160.279999999944,,,,,0,1,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
6,1614176132085,24/02/2021 14:15:32,1614176121429,0,24/02/2021 14:15:21,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,4,D2,BEST,response_button_text,2704.155000000017,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
7,1614176134933,24/02/2021 14:15:34,1614176124293,0,24/02/2021 14:15:24,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,27,3star,Zone3,continue_button,2857.484999999997,,,,,0,1,0,,,,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
8,1614176135012,24/02/2021 14:15:35,1614176124303,0,24/02/2021 14:15:24,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,2,1,29,blank,Zone1,timelimit_screen,16.674999999999272,,,,,0,1,0,,,1,,1,sequence,,,<strong>1155</strong>,<strong>745.99</strong>,<strong>869.99</strong>,<strong>769.75</strong>,<strong>1187.99</strong>,<strong>1691.99</strong>,<strong>811</strong>,<strong>725.99</strong>,<strong>825.99</strong>,<strong>795.99</strong>,,lose,3star,lose,1star,lose,lose,lose,5star,lose,lose,lose,lose,<strong>865.99</strong>,<strong>1133.99</strong>,Option8,Option2,Option4
9,1614176142108,24/02/2021 14:15:42,1614176131462,0,24/02/2021 14:15:31,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,3,2,1,instructions,Zone1,continue_button,7152.735000000008,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614176144518,24/02/2021 14:15:44,1614176133878,0,24/02/2021 14:15:33,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,12,2,1,C1,Zone3,continue_button,2360.8450000000375,,,,,0,1,0,,,,,1,sequence,,,<strong>1065.99</strong>,<strong>825.99</strong>,<strong>915</strong>,<strong>1229.99</strong>,<strong>431.76</strong>,<strong>779</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option5,Option12,Option10
11,1614176145725,24/02/2021 14:15:45,1614176135070,0,24/02/2021 14:15:35,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,12,2,2,D1,Zone3,response_button_text,1186.119999999959,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1065.99</strong>,<strong>825.99</strong>,<strong>915</strong>,<strong>1229.99</strong>,<strong>431.76</strong>,<strong>779</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option5,Option12,Option10
12,1614176146910,24/02/2021 14:15:46,1614176136270,0,24/02/2021 14:15:36,37649,6,task-v8w9,,10329265,60206fc293d94067727fe78b,3142616,,complete,,60365ed682340fea86e4a74d,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1080,1084x959,,Hybrid 5: Bruno sequence,7,5,5,5,12,2,3,C2,Zone3,continue_button,1193.3349999999336,,,,,0,1,0,,,,,1,sequence,,,<strong>1065.99</strong>,<strong>825.99</strong>,<strong>915</strong>,<strong>1229.99</strong>,<strong>431.76</strong>,<strong>779</strong>,<strong>1083</strong>,<strong>787</strong>,<strong>941.99</strong>,<strong>673.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,lose,1star,lose,3star,<strong>744</strong>,<strong>667</strong>,Option5,Option12,Option10
