Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175601910,24/02/2021 14:06:41,1614175601858,0,24/02/2021 14:06:41,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175607242,24/02/2021 14:06:47,1614175607241,0,24/02/2021 14:06:47,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,1,1,1,instructions,Zone1,continue_button,4936.405000044033,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175614269,24/02/2021 14:06:54,1614175614288,0,24/02/2021 14:06:54,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,1,C1,Zone3,continue_button,6807.254999992438,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
4,1614175616144,24/02/2021 14:06:56,1614175616073,0,24/02/2021 14:06:56,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,2,D1,Zone3,response_button_text,1744.0950000891462,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
5,1614175620425,24/02/2021 14:07:00,1614175620404,0,24/02/2021 14:07:00,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,3,C2,Zone3,continue_button,4286.535000079311,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
6,1614175621243,24/02/2021 14:07:01,1614175621179,0,24/02/2021 14:07:01,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,4,D2,lose,response_button_text,731.5149999922141,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
7,1614175626176,24/02/2021 14:07:06,1614175625839,0,24/02/2021 14:07:05,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,5,C3,Zone3,continue_button,4617.334999958985,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
8,1614175626802,24/02/2021 14:07:06,1614175626734,0,24/02/2021 14:07:06,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,6,D3,lose,response_button_text,858.9900000952184,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
9,1614175629136,24/02/2021 14:07:09,1614175629128,0,24/02/2021 14:07:09,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,7,C4,Zone3,continue_button,2350.4650000249967,,,,,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
10,1614175629875,24/02/2021 14:07:09,1614175629906,0,24/02/2021 14:07:09,37649,6,task-vwjc,,10328860,5f5838df29a3af3ae52d939e,3142511,,complete,,60365d0be8f1deea01ed4f63,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Hybrid 5: Bruno sequence,7,9,9,9,14,1,8,D4,lose,response_button_text,744.8450000956655,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>941.99</strong>,<strong>1083</strong>,<strong>779</strong>,<strong>1155.99</strong>,<strong>551.76</strong>,<strong>1229.99</strong>,<strong>864</strong>,<strong>989.99</strong>,<strong>749.99</strong>,<strong>865.99</strong>,,lose,lose,lose,lose,5star,lose,lose,lose,1star,lose,3star,lose,<strong>723</strong>,<strong>1065.99</strong>,Option5,Option11,Option9
