Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175953762,24/02/2021 14:12:33,1614175950755,0,24/02/2021 14:12:30,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175957937,24/02/2021 14:12:37,1614175955000,0,24/02/2021 14:12:35,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,1,1,1,instructions,Zone1,continue_button,3544.2299999995157,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175967777,24/02/2021 14:12:47,1614175964827,0,24/02/2021 14:12:44,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,1,C1,Zone3,continue_button,9356.64499993436,,,,,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
4,1614175969589,24/02/2021 14:12:49,1614175966659,0,24/02/2021 14:12:46,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,2,D1,Zone3,response_button_text,1761.8549999315292,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
5,1614175973826,24/02/2021 14:12:53,1614175970905,0,24/02/2021 14:12:50,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,3,C2,Zone3,continue_button,4196.589999948628,,,,,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
6,1614175975351,24/02/2021 14:12:55,1614175972399,0,24/02/2021 14:12:52,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,4,D2,lose,response_button_text,1374.405000009574,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
7,1614175980472,24/02/2021 14:13:00,1614175977544,0,24/02/2021 14:12:57,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,5,C3,Zone3,continue_button,5027.465000050142,,,,,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
8,1614175981809,24/02/2021 14:13:01,1614175978586,0,24/02/2021 14:12:58,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,6,D3,lose,response_button_text,990.3649999760091,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
9,1614175983317,24/02/2021 14:13:03,1614175980365,0,24/02/2021 14:13:00,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,7,C4,Zone3,continue_button,1475.1049999613315,,,,,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
10,1614175984162,24/02/2021 14:13:04,1614175981105,0,24/02/2021 14:13:01,37649,6,task-wl3e,,10329143,5eaf28ac2b45fe0c7c128d77,3142596,,complete,,60365e0e358893c67fa6840c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.150,1366x768,1366x657,,Hybrid 5: Bruno sequence,7,10,10,10,8,1,8,D4,lose,response_button_text,698.949999990873,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1322</strong>,<strong>1763.99</strong>,<strong>779</strong>,<strong>864</strong>,<strong>1065.99</strong>,<strong>1061.99</strong>,<strong>801.99</strong>,<strong>1320</strong>,<strong>875.99</strong>,<strong>723</strong>,,lose,lose,3star,lose,lose,lose,lose,lose,lose,5star,lose,1star,<strong>865.99</strong>,<strong>799.99</strong>,Option10,Option3,Option12
