Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qkdw,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TakeOption,PercentTaken,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,RecentAnswer,Feedback_1,Feedback_2,Feedback_3,Feedback_4,Feedback_5,Feedback_6,Feedback_7,Feedback_8,Feedback_9,Feedback_10,Feedback_11,Feedback_12,Option11,Option12,5_star,3_star,1_star
1,1614175956712,24/02/2021 14:12:36,1614175955702,0,24/02/2021 14:12:35,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614175966646,24/02/2021 14:12:46,1614175965635,0,24/02/2021 14:12:45,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,1,1,1,instructions,Zone1,continue_button,9797,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614175982512,24/02/2021 14:13:02,1614175981516,0,24/02/2021 14:13:01,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,1,C1,Zone3,continue_button,15805,,,,,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
4,1614175988681,24/02/2021 14:13:08,1614175987575,0,24/02/2021 14:13:07,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,2,D1,Zone3,response_button_text,6048,,,See next option,1,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
5,1614175998664,24/02/2021 14:13:18,1614175997642,0,24/02/2021 14:13:17,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,3,C2,Zone3,continue_button,10058,,,,,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
6,1614175999493,24/02/2021 14:13:19,1614175998459,0,24/02/2021 14:13:18,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,4,D2,BEST,response_button_text,807,,,Take this option,1,1,0,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
7,1614176002953,24/02/2021 14:13:22,1614176001684,0,24/02/2021 14:13:21,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,25,lose,Zone2,continue_button,3218,,,,,0,1,0,,,,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
8,1614176003081,24/02/2021 14:13:23,1614176001695,0,24/02/2021 14:13:21,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,6,1,29,blank,Zone1,timelimit_screen,16.659999999996217,,,,,0,1,0,,,1,,1,sequence,,,<strong>1113.99</strong>,<strong>673.99</strong>,<strong>431.76</strong>,<strong>359.76</strong>,<strong>745.99</strong>,<strong>1229.99</strong>,<strong>871.99</strong>,<strong>787</strong>,<strong>1133.99</strong>,<strong>552</strong>,,lose,lose,3star,5star,lose,lose,lose,lose,lose,1star,lose,lose,<strong>1229.99</strong>,<strong>744</strong>,Option4,Option3,Option10
9,1614176009815,24/02/2021 14:13:29,1614176008809,0,24/02/2021 14:13:28,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,3,2,1,instructions,Zone1,continue_button,7108,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614176011299,24/02/2021 14:13:31,1614176010311,0,24/02/2021 14:13:30,37649,6,task-zthr,,10329145,5cc49d30ade4810018a94ca8,3142577,,complete,,60365e109be870b0d54abd93,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1696x954,1696x798,,Hybrid 5: Bruno sequence,7,6,6,6,12,2,1,C1,Zone3,continue_button,1439,,,,,0,1,0,,,,,1,sequence,,,<strong>1123</strong>,<strong>769.75</strong>,<strong>1709</strong>,<strong>779</strong>,<strong>1152</strong>,<strong>431.76</strong>,<strong>1253.99</strong>,<strong>723</strong>,<strong>745.75</strong>,<strong>1083</strong>,,lose,lose,lose,lose,lose,5star,lose,3star,1star,lose,lose,lose,<strong>843</strong>,<strong>768</strong>,Option6,Option8,Option9
